date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2019-01-02,77.31,74.36,78.13,73.56,20023,343300720.0,5.95,-3.19,-2.45,1.18,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-03,74.31,73.27,74.79,72.83,18945,320530768.0,2.64,-1.47,-1.09,1.11,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-04,73.25,75.56,76.97,71.97,22634,386302384.0,6.82,3.13,2.29,1.33,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-07,75.97,77.05,77.46,75.46,15875,276921536.0,2.65,1.97,1.49,0.93,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-08,77.05,77.06,77.98,75.6,12149,213163616.0,3.09,0.01,0.01,0.71,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-09,77.31,78.72,81.22,76.36,21348,384035472.0,6.31,2.15,1.66,1.26,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-10,78.66,77.86,78.99,77.4,14048,249271737.0,2.02,-1.09,-0.86,0.83,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-11,78.44,78.32,79.19,77.61,10030,178360751.0,2.03,0.59,0.46,0.59,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-14,78.01,74.26,78.81,73.06,25136,432019232.0,7.34,-5.18,-4.06,1.48,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-15,74.81,80.81,80.87,74.31,33998,609305776.0,8.83,8.82,6.55,2.0,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-16,80.85,81.78,83.46,79.56,23473,433598176.0,4.83,1.2,0.97,1.38,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-17,82.26,82.21,83.56,81.06,16365,304836064.0,3.06,0.53,0.43,0.96,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-18,82.45,85.98,86.53,82.45,22084,422218928.0,4.96,4.59,3.77,1.3,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-21,85.98,85.06,87.25,84.56,19963,384584288.0,3.13,-1.07,-0.92,1.17,qfq,stock_zh_a_hist,000661,长春高新,生物制品
2019-01-22,85.21,83.06,85.21,82.5,11992,225618445.0,3.19,-2.35,-2.0,0.71,qfq,stock_zh_a_hist,000661,长春高新,生物制品
