date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2019-01-02,18.63,18.24,18.81,18.06,79907,147600266.0,3.97,-3.54,-0.67,0.58,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-03,18.25,17.73,18.3,17.51,79394,143143219.0,4.33,-2.8,-0.51,0.58,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-04,17.71,17.89,18.06,17.5,53530,96418345.0,3.16,0.9,0.16,0.39,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-07,18.01,18.45,18.52,17.86,90424,166649088.0,3.69,3.13,0.56,0.66,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-08,18.5,18.42,18.6,18.3,44946,83738655.0,1.63,-0.16,-0.03,0.33,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-09,18.51,18.66,18.85,18.36,59785,112972409.0,2.66,1.3,0.24,0.43,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-10,18.63,18.69,18.73,18.46,35738,67194992.0,1.45,0.16,0.03,0.26,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-11,18.81,18.51,18.81,18.51,22028,41379547.0,1.61,-0.96,-0.18,0.16,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-14,18.51,18.53,18.73,18.18,63209,117381826.0,2.97,0.11,0.02,0.46,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-15,18.52,18.41,18.53,18.03,85204,157893462.0,2.7,-0.65,-0.12,0.62,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-16,18.42,19.32,19.59,18.34,110364,211892991.0,6.79,4.94,0.91,0.8,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-17,19.26,18.82,19.3,18.81,53169,102166296.0,2.54,-2.59,-0.5,0.39,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-18,18.69,19.01,19.06,18.53,55314,105501097.0,2.82,1.01,0.19,0.4,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-21,19.03,18.87,19.08,18.66,39844,76036344.0,2.21,-0.74,-0.14,0.29,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-22,18.91,18.78,18.96,18.67,34685,65759091.0,1.54,-0.48,-0.09,0.25,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-23,18.8,18.73,18.97,18.62,25385,48205851.0,1.86,-0.27,-0.05,0.18,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-24,18.9,18.63,18.9,18.51,28494,53607333.0,2.08,-0.53,-0.1,0.21,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-25,18.79,18.4,18.8,18.36,42220,79182575.0,2.36,-1.23,-0.23,0.31,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-28,18.74,18.51,18.98,18.49,38528,72660695.0,2.66,0.6,0.11,0.28,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-29,18.52,18.49,18.6,18.2,41991,78142613.0,2.16,-0.11,-0.02,0.31,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-30,18.47,18.4,18.64,18.39,23680,44232051.0,1.35,-0.49,-0.09,0.17,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-01-31,18.55,18.2,18.59,18.03,55221,102493539.0,3.04,-1.09,-0.2,0.4,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-01,18.35,18.69,18.84,18.16,52043,97489512.0,3.74,2.69,0.49,0.38,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-11,18.69,18.99,19.08,18.47,55448,105661832.0,3.26,1.61,0.3,0.4,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-12,18.93,19.11,19.39,18.92,66958,129934701.0,2.47,0.63,0.12,0.49,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-13,19.17,19.14,19.2,18.93,71195,137188356.0,1.41,0.16,0.03,0.52,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-14,19.16,19.22,19.46,19.01,64581,124968210.0,2.35,0.42,0.08,0.47,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-15,19.22,18.97,19.3,18.74,71843,137604245.0,2.91,-1.3,-0.25,0.52,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-18,19.01,19.41,19.41,18.95,108123,210171012.0,2.42,2.32,0.44,0.79,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-19,19.35,19.44,19.8,19.24,114059,225127157.0,2.89,0.15,0.03,0.83,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-20,19.3,19.21,19.49,19.04,64821,125596363.0,2.31,-1.18,-0.23,0.47,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-21,19.31,19.19,19.37,19.02,89706,173865897.0,1.82,-0.1,-0.02,0.65,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-22,19.32,19.3,19.57,19.05,123938,241657991.0,2.71,0.57,0.11,0.9,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-25,19.43,19.87,19.92,19.22,261385,518055360.0,3.63,2.95,0.57,1.9,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-26,19.79,21.21,21.61,19.71,317094,673380912.0,9.56,6.74,1.34,2.31,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-27,20.96,20.51,20.96,20.32,216361,450183568.0,3.02,-3.3,-0.7,1.57,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-02-28,20.53,20.81,20.99,20.42,118030,247421429.0,2.78,1.46,0.3,0.86,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-01,21.25,21.09,21.61,20.95,128580,274812224.0,3.17,1.35,0.28,0.93,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-04,21.35,21.39,21.49,21.11,231376,497219008.0,1.8,1.42,0.3,1.68,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-05,21.38,22.33,22.59,21.37,230342,516752736.0,5.7,4.39,0.94,1.67,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-06,22.25,22.33,22.75,21.89,188248,422214384.0,3.85,0.0,0.0,1.37,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-07,22.54,22.31,22.87,21.93,242794,549023024.0,4.21,-0.09,-0.02,1.77,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-08,21.89,21.46,22.19,21.31,209905,460155968.0,3.94,-3.81,-0.85,1.53,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-11,21.31,21.65,21.85,20.46,210622,450795232.0,6.48,0.89,0.19,1.53,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-12,21.71,21.25,21.91,21.09,207960,448705456.0,3.79,-1.85,-0.4,1.51,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-13,21.22,21.03,21.43,20.82,139204,296287920.0,2.87,-1.04,-0.22,1.01,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-14,21.01,20.56,21.28,20.35,185109,389163008.0,4.42,-2.23,-0.47,1.35,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-15,20.57,20.91,21.17,20.32,129911,272983888.0,4.13,1.7,0.35,0.94,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-18,21.04,21.33,21.39,20.73,129536,277022992.0,3.16,2.01,0.42,0.94,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-19,21.26,21.09,21.43,21.02,98719,210753660.0,1.92,-1.13,-0.24,0.72,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-20,21.09,20.82,21.22,20.61,97921,205598379.0,2.89,-1.28,-0.27,0.71,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-21,20.88,20.53,20.99,20.51,152323,317315136.0,2.31,-1.39,-0.29,1.11,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-22,20.41,22.46,22.6,20.41,406242,892423840.0,10.67,9.4,1.93,2.95,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-25,22.03,21.96,23.1,21.88,289259,655536144.0,5.43,-2.23,-0.5,2.1,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-26,21.91,22.37,22.8,21.53,241782,541197200.0,5.78,1.87,0.41,1.76,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-27,22.91,23.41,24.4,22.91,252650,599060128.0,6.66,4.65,1.04,1.84,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-28,23.56,24.9,25.77,23.23,363014,905378752.0,10.85,6.36,1.49,2.64,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-03-29,25.01,25.31,25.65,24.46,297063,750189904.0,4.78,1.65,0.41,2.16,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-01,25.46,25.21,25.61,24.9,304911,772197808.0,2.81,-0.4,-0.1,2.22,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-02,25.09,27.05,27.19,24.12,432484,1114827424.0,12.18,7.3,1.84,3.14,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-03,26.69,27.41,28.23,26.28,321372,883187312.0,7.21,1.33,0.36,2.34,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-04,27.81,29.06,29.31,27.81,380932,1093860624.0,5.47,6.02,1.65,2.77,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-08,28.8,28.34,29.76,28.04,259884,749886864.0,5.92,-2.48,-0.72,1.89,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-09,28.62,27.65,28.62,27.14,220357,614472704.0,5.22,-2.43,-0.69,1.6,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-10,27.76,27.42,28.58,27.24,219537,614482368.0,4.85,-0.83,-0.23,1.6,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-11,27.61,26.35,27.61,26.31,205705,556766896.0,4.74,-3.9,-1.07,1.5,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-12,26.35,26.26,26.87,25.86,168756,445786960.0,3.83,-0.34,-0.09,1.23,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-15,26.81,25.73,26.88,25.7,165552,438954704.0,4.49,-2.02,-0.53,1.2,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-16,25.99,26.65,26.82,25.14,253224,667162848.0,6.53,3.58,0.92,1.84,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-17,26.41,28.01,28.61,26.34,337083,936765360.0,8.52,5.1,1.36,2.45,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-18,28.06,28.01,28.48,27.66,165648,467506800.0,2.93,0.0,0.0,1.2,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-19,28.11,27.45,28.11,27.14,152793,423768400.0,3.46,-2.0,-0.56,1.11,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-22,27.31,26.95,27.99,26.75,146608,403551952.0,4.52,-1.82,-0.5,1.07,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-23,26.56,26.81,27.61,26.55,125475,343182352.0,3.93,-0.52,-0.14,0.91,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-24,26.76,28.11,28.4,26.38,184566,509257008.0,7.53,4.85,1.3,1.34,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-25,28.25,27.03,28.25,27.01,172077,479401344.0,4.41,-3.84,-1.08,1.25,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-26,27.04,26.48,27.21,26.29,156347,421166064.0,3.4,-2.03,-0.55,1.14,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-29,26.49,26.31,26.89,25.56,156826,415112688.0,5.02,-0.64,-0.17,1.14,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-04-30,26.27,27.06,27.09,25.86,146304,390820608.0,4.68,2.85,0.75,1.06,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-06,25.91,24.34,26.31,24.34,225795,571853712.0,7.28,-10.05,-2.72,1.64,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-07,24.12,24.01,24.89,23.19,212943,517912848.0,6.98,-1.36,-0.33,1.55,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-08,23.61,24.03,24.66,23.21,128508,312122176.0,6.04,0.08,0.02,0.93,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-09,23.73,23.03,24.19,22.88,138055,327258624.0,5.45,-4.16,-1.0,1.0,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-10,23.13,23.75,24.04,22.34,198495,469189840.0,7.38,3.13,0.72,1.44,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-13,23.49,23.48,23.99,23.36,91322,217687076.0,2.65,-1.14,-0.27,0.66,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-14,23.56,23.21,24.1,23.07,114355,270786736.0,4.39,-1.15,-0.27,0.83,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-15,23.41,23.66,23.86,23.14,114613,272379088.0,3.1,1.94,0.45,0.83,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-16,23.66,24.41,24.98,23.24,234363,568881808.0,7.35,3.17,0.75,1.7,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-17,24.21,23.18,24.21,23.09,168336,401168880.0,4.59,-5.04,-1.23,1.22,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-20,22.81,22.76,23.26,22.46,89052,204666143.0,3.45,-1.81,-0.42,0.65,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-21,22.8,23.77,24.22,22.8,134470,320571232.0,6.24,4.44,1.01,0.98,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-22,23.8,23.91,24.11,23.64,98075,236404089.0,1.98,0.59,0.14,0.71,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-23,24.45,23.54,24.45,23.42,100280,240639906.0,4.31,-1.55,-0.37,0.73,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-24,23.58,23.78,24.06,23.47,88671,212747065.0,2.51,1.02,0.24,0.64,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-27,23.79,24.58,24.79,23.71,130715,320802032.0,4.54,3.36,0.8,0.95,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-28,24.59,24.96,25.14,24.46,170932,426559520.0,2.77,1.55,0.38,1.24,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-29,24.62,24.45,24.67,24.29,63382,156429764.0,1.52,-2.04,-0.51,0.46,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-30,24.37,23.72,24.37,23.53,80474,192890966.0,3.44,-2.99,-0.73,0.59,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-05-31,23.87,23.91,24.02,23.41,52254,125313010.0,2.57,0.8,0.19,0.38,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-03,23.61,24.61,25.87,23.61,218908,549259424.0,9.45,2.93,0.7,1.59,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-04,24.5,24.05,24.8,24.02,93938,230099483.0,3.17,-2.28,-0.56,0.68,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-05,24.27,22.3,24.41,21.66,297140,681408832.0,11.43,-7.28,-1.75,2.16,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-06,22.4,22.65,22.7,21.83,166496,373991648.0,3.9,1.57,0.35,1.21,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-10,22.89,23.29,24.0,22.34,195356,457956064.0,7.33,2.83,0.64,1.42,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-11,23.31,24.41,24.56,23.3,179826,437826848.0,5.41,4.81,1.12,1.31,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-12,24.41,24.6,24.69,24.11,129413,318365808.0,2.38,0.78,0.19,0.94,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-13,24.67,24.58,24.79,24.23,127800,315836480.0,2.28,-0.08,-0.02,0.93,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-14,24.56,25.61,26.07,24.42,265545,680310016.0,6.71,4.19,1.03,1.93,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-17,25.7,26.75,26.8,25.52,200820,531943472.0,5.0,4.45,1.14,1.46,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-18,26.73,26.64,27.11,26.34,113517,305083936.0,2.88,-0.41,-0.11,0.83,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-19,27.26,26.81,27.49,26.52,136585,369758176.0,3.64,0.64,0.17,0.99,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-20,26.92,26.57,27.05,26.48,101396,272854672.0,2.13,-0.9,-0.24,0.74,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-21,27.63,26.82,27.64,26.56,116683,317037456.0,4.06,0.94,0.25,0.85,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-24,26.86,26.73,27.26,26.59,72931,197457479.0,2.5,-0.34,-0.09,0.53,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-25,26.76,26.73,27.01,25.61,149467,397106768.0,5.24,0.0,0.0,1.09,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-26,26.81,27.31,27.69,26.58,198195,542669088.0,4.15,2.17,0.58,1.44,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-27,27.29,27.39,27.55,27.09,115429,317171968.0,1.68,0.29,0.08,0.84,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-06-28,27.83,28.17,28.55,27.42,197437,555994608.0,4.13,2.85,0.78,1.44,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-01,28.63,30.39,30.66,28.41,383671,1145542560.0,7.99,7.88,2.22,2.77,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-02,30.18,29.62,30.59,29.56,210233,632025104.0,3.39,-2.53,-0.77,1.52,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-03,29.77,29.83,30.0,29.31,163222,486603024.0,2.33,0.71,0.21,1.18,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-04,29.71,28.88,29.91,28.45,193587,563367152.0,4.89,-3.18,-0.95,1.4,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-05,28.79,29.08,29.16,28.46,90836,264450582.0,2.42,0.69,0.2,0.66,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-08,29.07,27.8,29.07,27.26,224553,628702768.0,6.22,-4.4,-1.28,1.62,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-09,27.86,27.76,28.08,27.37,92156,257702823.0,2.55,-0.14,-0.04,0.67,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-10,27.0,27.1,27.56,26.32,291334,794738720.0,4.47,-2.38,-0.66,2.11,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-11,27.22,26.89,27.9,26.74,136800,375296896.0,4.28,-0.77,-0.21,0.99,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-12,27.29,26.86,27.41,26.81,85543,233402462.0,2.23,-0.11,-0.03,0.62,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-15,27.12,26.82,27.29,26.52,117583,317879616.0,2.87,-0.15,-0.04,0.85,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-16,26.87,26.42,26.89,25.94,125000,332138208.0,3.54,-1.49,-0.4,0.9,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-17,26.67,27.86,27.9,26.53,176897,487086672.0,5.19,5.45,1.44,1.28,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-18,27.75,27.31,28.46,27.31,151387,423782496.0,4.13,-1.97,-0.55,1.09,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
2019-07-19,27.17,27.3,27.65,27.13,73756,203000568.0,1.9,-0.04,-0.01,0.53,qfq,stock_zh_a_hist,300142,沃森生物,疫苗
