symbol,name,period,year,report_type,disclosure_date,disclosure_source
000661,长春高新,1993-12-31,1993,1993年报,1994-04-30,estimated_by_report_type
000661,长春高新,1994-12-31,1994,1994年报,1995-04-30,estimated_by_report_type
000661,长春高新,1995-12-31,1995,1995年报,1996-04-30,estimated_by_report_type
000661,长春高新,1996-06-30,1996,1996半年报,1996-08-31,estimated_by_report_type
000661,长春高新,1996-12-31,1996,1996年报,1997-04-30,estimated_by_report_type
000661,长春高新,1997-06-30,1997,1997半年报,1997-08-31,estimated_by_report_type
000661,长春高新,1997-12-31,1997,1997年报,1998-04-30,estimated_by_report_type
000661,长春高新,1998-06-30,1998,1998半年报,1998-08-31,estimated_by_report_type
000661,长春高新,1998-12-31,1998,1998年报,1999-04-30,estimated_by_report_type
000661,长春高新,1999-06-30,1999,1999半年报,1999-08-31,estimated_by_report_type
000661,长春高新,1999-12-31,1999,1999年报,2000-04-30,estimated_by_report_type
000661,长春高新,2000-06-30,2000,2000半年报,2000-08-31,estimated_by_report_type
000661,长春高新,2000-12-31,2000,2000年报,2001-04-30,estimated_by_report_type
000661,长春高新,2001-06-30,2001,2001半年报,2001-08-31,estimated_by_report_type
000661,长春高新,2001-09-30,2001,2001三季,2001-10-31,estimated_by_report_type
000661,长春高新,2001-12-31,2001,2001年报,2002-04-30,estimated_by_report_type
000661,长春高新,2002-03-31,2002,2002一季,2002-04-30,estimated_by_report_type
000661,长春高新,2002-06-30,2002,2002半年报,2002-08-31,estimated_by_report_type
000661,长春高新,2002-09-30,2002,2002三季,2002-10-31,estimated_by_report_type
000661,长春高新,2002-12-31,2002,2002年报,2003-04-30,estimated_by_report_type
000661,长春高新,2003-03-31,2003,2003一季,2003-04-30,estimated_by_report_type
000661,长春高新,2003-06-30,2003,2003半年报,2003-08-31,estimated_by_report_type
000661,长春高新,2003-09-30,2003,2003三季,2003-10-31,estimated_by_report_type
000661,长春高新,2003-12-31,2003,2003年报,2004-04-30,estimated_by_report_type
000661,长春高新,2004-03-31,2004,2004一季,2004-04-30,estimated_by_report_type
000661,长春高新,2004-06-30,2004,2004半年报,2004-08-31,estimated_by_report_type
000661,长春高新,2004-09-30,2004,2004三季,2004-10-31,estimated_by_report_type
000661,长春高新,2004-12-31,2004,2004年报,2005-04-30,estimated_by_report_type
000661,长春高新,2005-03-31,2005,2005一季,2005-04-30,estimated_by_report_type
