period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
2016-12-31,154700.0,-49852000.0,-25.2,65.0,-32231.81,34.24,5.9,2016-12-31,2016.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2017-12-31,187200.0,-64449100.0,-13.26,,-34434.17,29.9,3.84,2017-12-31,2017.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2018-12-31,2811900.0,-138000000.0,-24.93,90.25,-4917.38,36.88,2.1,2018-12-31,2018.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2019-03-31,571500.0,-45247500.0,-9.36,93.03,-7917.36,,,2019-03-31,2019.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2019-06-30,1905900.0,-69693300.0,-5.93,93.3,-3656.68,,,2019-06-30,2019.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2019-09-30,1929700.0,-93473600.0,-7.85,93.21,-4843.83,16.44,8.57,2019-09-30,2019.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2019-12-31,2283400.0,-157000000.0,-12.48,93.54,-6866.17,17.6,6.82,2019-12-31,2019.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2020-03-31,4029600.0,-23102600.000000004,-1.58,91.49,-573.32,16.37,6.79,2020-03-31,2020.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2020-06-30,4029600.0,-102000000.0,-7.18,91.49,-2536.27,19.5,4.14,2020-06-30,2020.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2020-09-30,5673800.0,-176000000.0,-9.06,91.13,-3100.07,5.62,31.06,2020-09-30,2020.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2020-12-31,24890000.0,-397000000.0,-13.49,42.39,-1593.54,10.04,13.24,2020-12-31,2020.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2021-03-31,467000000.0,-14114000.0,-0.23,52.0,-3.37,18.72,5.96,2021-03-31,2021.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2021-06-30,2061000000.0,936999999.9999999,14.32,69.68,45.46,31.56,2.92,2021-06-30,2021.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2021-09-30,3086000000.0,1334000000.0,19.78,66.08,43.23,31.83,2.77,2021-09-30,2021.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2021-12-31,4300000000.0,1914000000.0,27.21,69.85,44.35,28.01,3.25,2021-12-31,2021.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2022-03-31,499000000.0,121000000.0,1.51,70.27,22.89,28.1,3.29,2022-03-31,2022.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2022-06-30,630000000.0,12238400.0,0.15,65.54,2.55,31.13,3.0,2022-06-30,2022.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2022-09-30,707000000.0,-474000000.0,-6.18,65.83,-69.08,32.79,2.92,2022-09-30,2022.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2022-12-31,1035000000.0,-909000000.0,-12.36,59.75,-93.25,36.82,2.64,2022-12-31,2022.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2023-03-31,101000000.0,-140000000.0,-2.09,35.17,-169.26,36.89,2.79,2023-03-31,2023.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2023-06-30,25907800.000000004,-841000000.0,-13.29,-237.63,-4948.98,39.69,2.18,2023-06-30,2023.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2023-09-30,176000000.0,-985000000.0,-15.74,1.66,-828.39,39.67,2.24,2023-09-30,2023.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2023-12-31,357000000.0,-1483000000.0,-24.67,27.37,-550.97,43.26,2.02,2023-12-31,2023.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2024-03-31,113999999.99999999,-170000000.0,-3.28,59.55,-153.03,40.41,2.39,2024-03-31,2024.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2024-06-30,303000000.0,-225000000.0,-4.36,69.86,-75.85,37.8,2.41,2024-06-30,2024.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2024-09-30,567000000.0,-222000000.00000003,-4.31,74.2,-40.06,36.62,2.47,2024-09-30,2024.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2024-12-31,846000000.0000001,-379000000.0,-7.44,75.84,-45.33,38.3,2.54,2024-12-31,2024.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2025-03-31,137000000.0,-11545400.0,-0.24,82.69,-8.42,37.36,2.65,2025-03-31,2025.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2025-06-30,382000000.0,-13485400.0,-0.27,82.54,-3.53,36.36,2.57,2025-06-30,2025.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2025-09-30,693000000.0,14440100.0,0.29,80.67,2.09,32.46,3.62,2025-09-30,2025.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2025-12-31,1068000000.0,27872700.0,0.57,77.51,2.61,30.98,3.67,2025-12-31,2025.0,stock_financial_abstract_ths,688185,康希诺,疫苗
2026-03-31,190000000.0,-40424300.0,-0.82,80.94,-21.24,29.54,4.11,2026-03-31,2026.0,stock_financial_abstract_ths,688185,康希诺,疫苗
