period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
2014-12-31,4140000000.0,462000000.0,20.82,36.78,19.52,35.17,1.97,2014-12-31,2014.0,stock_financial_abstract_ths,603259,药明康德,CXO
2015-12-31,4883000000.0,349000000.0,14.45,34.55,14.0,33.62,2.12,2015-12-31,2015.0,stock_financial_abstract_ths,603259,药明康德,CXO
2016-12-31,6116000000.0,975000000.0,29.1,40.76,18.33,42.76,1.44,2016-12-31,2016.0,stock_financial_abstract_ths,603259,药明康德,CXO
2017-03-31,1768000000.0,337000000.0,5.94,43.66,20.36,37.98,1.59,2017-03-31,2017.0,stock_financial_abstract_ths,603259,药明康德,CXO
2017-06-30,3665000000.0,742000000.0,13.03,43.39,21.33,,,2017-06-30,2017.0,stock_financial_abstract_ths,603259,药明康德,CXO
2017-09-30,5678000000.0,1063000000.0000001,17.59,42.76,19.64,45.16,1.13,2017-09-30,2017.0,stock_financial_abstract_ths,603259,药明康德,CXO
2017-12-31,7765000000.000001,1227000000.0,21.14,41.83,16.7,46.44,1.18,2017-12-31,2017.0,stock_financial_abstract_ths,603259,药明康德,CXO
2018-03-31,2142000000.0000002,291000000.0,4.51,39.1,14.2,44.4,1.24,2018-03-31,2018.0,stock_financial_abstract_ths,603259,药明康德,CXO
2018-06-30,4409000000.0,1272000000.0,16.41,40.06,29.58,35.81,1.57,2018-06-30,2018.0,stock_financial_abstract_ths,603259,药明康德,CXO
2018-09-30,6920999999.999999,1928000000.0,22.62,40.68,28.6,35.74,1.41,2018-09-30,2018.0,stock_financial_abstract_ths,603259,药明康德,CXO
2018-12-31,9614000000.0,2261000000.0,23.98,39.45,24.27,19.86,3.14,2018-12-31,2018.0,stock_financial_abstract_ths,603259,药明康德,CXO
2019-03-31,2769000000.0,386000000.0,2.13,38.14,14.93,20.52,3.4,2019-03-31,2019.0,stock_financial_abstract_ths,603259,药明康德,CXO
2019-06-30,5894000000.0,1057000000.0,5.8,38.78,18.75,25.79,2.32,2019-06-30,2019.0,stock_financial_abstract_ths,603259,药明康德,CXO
2019-09-30,9279000000.0,1764999999.9999998,9.89,39.51,19.6,36.75,2.2,2019-09-30,2019.0,stock_financial_abstract_ths,603259,药明康德,CXO
2019-12-31,12872000000.0,1855000000.0,10.57,38.95,14.85,40.46,1.91,2019-12-31,2019.0,stock_financial_abstract_ths,603259,药明康德,CXO
2020-03-31,3188000000.0,303000000.0,1.73,34.46,9.57,40.95,1.78,2020-03-31,2020.0,stock_financial_abstract_ths,603259,药明康德,CXO
2020-06-30,7231000000.0,1717000000.0000002,9.4,36.9,23.89,39.59,1.67,2020-06-30,2020.0,stock_financial_abstract_ths,603259,药明康德,CXO
2020-09-30,11815000000.0,2368000000.0,11.89,37.58,20.2,27.92,3.26,2020-09-30,2020.0,stock_financial_abstract_ths,603259,药明康德,CXO
2020-12-31,16535000000.0,2960000000.0,12.91,37.99,18.06,29.32,2.91,2020-12-31,2020.0,stock_financial_abstract_ths,603259,药明康德,CXO
2021-03-31,4950000000.0,1500000000.0,4.43,37.1,30.44,26.92,2.6,2021-03-31,2021.0,stock_financial_abstract_ths,603259,药明康德,CXO
2021-06-30,10537000000.0,2675000000.0,7.7,36.99,25.55,29.12,2.13,2021-06-30,2021.0,stock_financial_abstract_ths,603259,药明康德,CXO
2021-09-30,16521000000.0,3561999999.9999995,10.23,36.99,21.72,29.21,1.93,2021-09-30,2021.0,stock_financial_abstract_ths,603259,药明康德,CXO
2021-12-31,22902000000.0,5097000000.0,14.05,36.29,22.43,29.69,1.69,2021-12-31,2021.0,stock_financial_abstract_ths,603259,药明康德,CXO
2022-03-31,8473999999.999999,1643000000.0,4.16,35.79,19.54,29.41,1.69,2022-03-31,2022.0,stock_financial_abstract_ths,603259,药明康德,CXO
2022-06-30,17756000000.0,4636000000.0,11.38,36.25,26.33,31.53,1.46,2022-06-30,2022.0,stock_financial_abstract_ths,603259,药明康德,CXO
2022-09-30,28395000000.0,7378000000.0,17.72,37.12,26.23,31.35,1.46,2022-09-30,2022.0,stock_financial_abstract_ths,603259,药明康德,CXO
2022-12-31,39355000000.0,8814000000.0,20.62,37.3,22.62,27.46,1.66,2022-12-31,2022.0,stock_financial_abstract_ths,603259,药明康德,CXO
2023-03-31,8964000000.0,2168000000.0,4.53,39.89,24.39,26.92,1.74,2023-03-31,2023.0,stock_financial_abstract_ths,603259,药明康德,CXO
2023-06-30,18871000000.0,5313000000.0,10.78,40.52,28.39,27.58,1.69,2023-06-30,2023.0,stock_financial_abstract_ths,603259,药明康德,CXO
2023-09-30,29541000000.000004,8076000000.000001,16.19,41.3,27.58,27.55,1.75,2023-09-30,2023.0,stock_financial_abstract_ths,603259,药明康德,CXO
2023-12-31,40341000000.0,9607000000.0,18.99,41.18,24.05,24.64,2.06,2023-12-31,2023.0,stock_financial_abstract_ths,603259,药明康德,CXO
2024-03-31,7981999999.999999,1942000000.0000002,3.51,38.13,24.54,25.21,2.33,2024-03-31,2024.0,stock_financial_abstract_ths,603259,药明康德,CXO
2024-06-30,17241000000.0,4240000000.0,7.62,39.37,24.83,25.95,2.22,2024-06-30,2024.0,stock_financial_abstract_ths,603259,药明康德,CXO
2024-09-30,27702000000.0,6533000000.0,11.73,40.65,23.83,25.13,2.36,2024-09-30,2024.0,stock_financial_abstract_ths,603259,药明康德,CXO
2024-12-31,39241000000.0,9450000000.0,16.78,41.48,24.38,26.44,2.38,2024-12-31,2024.0,stock_financial_abstract_ths,603259,药明康德,CXO
2025-03-31,9655000000.0,3672000000.0,6.08,42.26,38.48,25.72,2.29,2025-03-31,2025.0,stock_financial_abstract_ths,603259,药明康德,CXO
2025-06-30,20799000000.0,8561000000.0,13.93,44.45,41.64,27.93,2.08,2025-06-30,2025.0,stock_financial_abstract_ths,603259,药明康德,CXO
2025-09-30,32857000000.0,12076000000.0,19.26,46.62,37.15,24.45,2.77,2025-09-30,2025.0,stock_financial_abstract_ths,603259,药明康德,CXO
2025-12-31,45456000000.0,19151000000.0,28.56,47.64,42.53,22.18,3.21,2025-12-31,2025.0,stock_financial_abstract_ths,603259,药明康德,CXO
2026-03-31,12436000000.0,4652000000.0,5.68,50.4,37.56,21.08,3.42,2026-03-31,2026.0,stock_financial_abstract_ths,603259,药明康德,CXO
