period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
2007-12-31,492000000.0,152000000.0,95.79,57.89,30.87,43.41,2.01,2007-12-31,2007.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2008-12-31,590000000.0,190000000.0,98.53,63.6,32.19,31.54,2.29,2008-12-31,2008.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2009-09-30,418000000.0,154000000.0,,67.97,36.68,,,2009-09-30,2009.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2009-12-31,604000000.0,231999999.99999997,60.49,68.79,38.34,12.81,6.78,2009-12-31,2009.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2010-03-31,106000000.0,23695700.0,5.11,58.9,22.28,,,2010-03-31,2010.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2010-06-30,331000000.0,131000000.0,25.35,69.04,39.64,8.8,11.22,2010-06-30,2010.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2010-09-30,472000000.0,173000000.0,,65.5,36.65,2.4,53.38,2010-09-30,2010.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2010-12-31,737000000.0,256999999.99999997,27.36,63.47,34.83,3.06,38.6,2010-12-31,2010.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2011-03-31,129000000.0,30216100.0,1.4,62.58,23.47,6.66,15.22,2011-03-31,2011.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2011-06-30,312000000.0,97589100.0,4.54,63.78,31.23,6.66,14.9,2011-06-30,2011.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2011-09-30,457000000.0,129000000.0,5.99,60.86,28.24,5.83,16.81,2011-09-30,2011.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2011-12-31,629000000.0,196000000.0,9.01,60.14,31.23,6.08,15.22,2011-12-31,2011.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2012-03-31,139000000.0,35942900.0,1.58,51.04,25.94,8.61,10.29,2012-03-31,2012.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2012-06-30,328000000.0,109000000.00000001,4.76,52.61,33.09,7.34,11.99,2012-06-30,2012.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2012-09-30,497000000.0,144000000.0,6.32,54.82,28.92,8.36,10.73,2012-09-30,2012.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
2012-12-31,760000000.0,215000000.0,9.47,55.63,28.28,5.21,17.51,2012-12-31,2012.0,stock_financial_abstract_ths,300122,智飞生物,疫苗
