date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2019-01-02,75.75,73.08,76.1,68.85,58988,612101680.0,9.23,-6.93,-5.44,4.85,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-03,72.6,70.62,74.3,69.26,38459,392152448.0,6.9,-3.37,-2.46,3.16,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-04,69.88,70.88,72.15,68.78,42769,432343824.0,4.77,0.37,0.26,3.52,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-07,70.36,71.03,73.28,69.99,43458,442705536.0,4.64,0.21,0.15,3.57,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-08,70.41,68.8,71.29,67.08,52135,518413312.0,5.93,-3.14,-2.23,4.29,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-09,69.19,72.28,74.59,68.85,58185,600284560.0,8.34,5.06,3.48,4.78,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-10,73.6,72.62,74.48,71.58,41362,430582352.0,4.01,0.47,0.34,3.4,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-11,72.2,74.21,74.3,71.7,20723,215125708.0,3.58,2.19,1.59,1.7,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-14,74.1,73.4,74.1,71.98,19504,202096291.0,2.86,-1.09,-0.81,1.6,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-15,73.18,74.28,75.8,72.79,21138,222559524.0,4.1,1.2,0.88,1.74,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-16,73.96,74.99,75.69,73.11,20310,214576900.0,3.47,0.96,0.71,1.67,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-17,74.79,75.05,75.75,74.21,16582,175687211.0,2.05,0.08,0.06,1.36,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-18,74.69,78.8,79.0,74.69,32791,353652560.0,5.74,5.0,3.75,2.7,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-21,80.1,80.41,84.15,79.66,42080,473422400.0,5.7,2.04,1.61,3.46,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-22,80.9,77.79,81.68,76.81,23585,258272023.0,6.06,-3.26,-2.62,1.94,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-23,77.78,79.57,79.78,77.5,14603,159833986.0,2.93,2.29,1.78,1.2,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-24,78.9,77.3,79.5,76.08,24242,261741042.0,4.3,-2.85,-2.27,1.99,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-25,77.3,76.23,78.73,76.15,30737,331847424.0,3.34,-1.38,-1.07,2.53,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-28,76.69,75.61,77.48,75.4,16113,172208622.0,2.73,-0.81,-0.62,1.33,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-29,75.77,73.28,75.77,71.81,32950,343467344.0,5.24,-3.08,-2.33,2.71,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-30,73.1,75.43,76.25,72.35,25879,274067776.0,5.32,2.93,2.15,2.13,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-01-31,76.74,76.03,78.08,74.25,31387,336064256.0,5.08,0.8,0.6,2.58,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-01,76.61,80.26,80.5,76.15,30681,337281904.0,5.72,5.56,4.23,2.52,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-11,80.39,81.3,82.07,79.01,35986,401635984.0,3.81,1.3,1.04,2.96,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-12,81.1,83.12,84.18,80.8,33888,384101904.0,4.16,2.24,1.82,2.79,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-13,82.18,82.88,83.3,81.05,34926,393327296.0,2.71,-0.29,-0.24,2.87,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-14,82.68,85.04,86.21,82.13,38574,444822880.0,4.92,2.61,2.16,3.17,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-15,84.51,82.45,84.95,82.0,25782,292397504.0,3.47,-3.05,-2.59,2.12,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-18,82.48,84.36,85.05,82.48,35044,401328528.0,3.12,2.32,1.91,2.88,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-19,84.88,85.16,89.6,84.78,42902,504174592.0,5.71,0.95,0.8,3.53,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-20,84.91,82.3,85.25,80.83,37983,429583584.0,5.19,-3.36,-2.86,3.12,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-21,82.29,81.5,83.04,80.62,32223,363293200.0,2.94,-0.97,-0.8,2.65,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-22,81.3,83.47,83.9,80.8,30613,345817456.0,3.8,2.42,1.97,2.52,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-25,84.33,92.15,92.2,84.33,60222,713606864.0,9.43,10.4,8.68,4.95,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-26,91.79,88.5,91.8,87.95,49748,599056144.0,4.18,-3.96,-3.65,4.09,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-27,87.7,85.03,88.6,84.34,42379,496852064.0,4.81,-3.92,-3.47,3.49,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-02-28,86.55,96.6,96.6,85.98,81554,1013908896.0,12.49,13.61,11.57,6.71,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-01,98.3,97.69,100.3,94.11,58116,744630832.0,6.41,1.13,1.09,4.78,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-04,99.01,101.85,108.1,99.01,71485,959811120.0,9.3,4.26,4.16,5.88,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-05,99.1,101.9,102.92,98.5,48341,632315952.0,4.34,0.05,0.05,3.98,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-06,102.0,100.15,103.32,97.75,53905,701031776.0,5.47,-1.72,-1.75,4.43,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-07,98.48,96.6,98.52,94.68,64377,816444240.0,3.83,-3.54,-3.55,5.29,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-08,93.3,95.11,98.62,92.3,50197,637809680.0,6.54,-1.54,-1.49,4.13,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-11,94.64,99.97,101.8,93.3,50883,651927248.0,8.94,5.11,4.86,4.18,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-12,100.29,97.54,102.3,94.79,57868,746622768.0,7.51,-2.43,-2.43,4.76,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-13,97.81,96.58,100.75,95.8,44560,573675616.0,5.07,-0.98,-0.96,3.66,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-14,96.56,99.75,101.3,96.3,39539,512825904.0,5.18,3.28,3.17,3.25,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-15,100.5,104.6,108.18,100.5,53915,735289536.0,7.7,4.86,4.85,4.43,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-18,105.8,101.3,105.82,96.3,74860,975342720.0,9.1,-3.15,-3.3,6.16,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-19,101.63,100.5,104.2,99.91,37104,491845616.0,4.23,-0.79,-0.8,3.05,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-20,99.31,101.43,102.8,99.3,27728,364646496.0,3.48,0.93,0.93,2.28,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-21,101.2,99.51,101.3,99.07,34743,453797872.0,2.2,-1.89,-1.92,2.86,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-22,100.18,99.7,100.6,98.2,21599,280896576.0,2.41,0.19,0.19,1.78,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
2019-03-25,97.09,96.75,97.75,96.01,36544,466307568.0,1.75,-2.96,-2.95,3.01,qfq,stock_zh_a_hist,300760,迈瑞医疗,医疗器械
