period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
1990-12-31,32932600.000000004,7194299.999999999,,64.65,21.85,60.77,0.89,1990-12-31,1990.0,stock_financial_abstract_ths,000538,云南白药,中药
1991-12-31,37260700.0,3992600.0,,58.02,10.72,45.14,1.27,1991-12-31,1991.0,stock_financial_abstract_ths,000538,云南白药,中药
1992-12-31,44851300.0,6365500.0,,62.75,14.19,44.44,1.29,1992-12-31,1992.0,stock_financial_abstract_ths,000538,云南白药,中药
1993-12-31,58364399.99999999,13240300.0,,58.5,22.69,6.83,13.03,1993-12-31,1993.0,stock_financial_abstract_ths,000538,云南白药,中药
1994-06-30,38177100.0,12500500.0,,,32.74,6.77,11.21,1994-06-30,1994.0,stock_financial_abstract_ths,000538,云南白药,中药
1994-12-31,59465100.0,23804300.0,,55.8,40.03,8.38,8.54,1994-12-31,1994.0,stock_financial_abstract_ths,000538,云南白药,中药
1995-06-30,39239300.0,12739200.0,,,32.47,9.06,7.9,1995-06-30,1995.0,stock_financial_abstract_ths,000538,云南白药,中药
1995-12-31,78967400.0,17580100.0,,49.08,22.26,18.43,3.45,1995-12-31,1995.0,stock_financial_abstract_ths,000538,云南白药,中药
1996-06-30,47956100.0,15065600.0,,,31.42,11.45,5.35,1996-06-30,1996.0,stock_financial_abstract_ths,000538,云南白药,中药
1996-12-31,93394900.0,23901500.0,,51.74,25.59,18.9,2.94,1996-12-31,1996.0,stock_financial_abstract_ths,000538,云南白药,中药
1997-06-30,62755300.0,14483000.0,,,23.08,19.88,3.34,1997-06-30,1997.0,stock_financial_abstract_ths,000538,云南白药,中药
1997-12-31,132000000.0,25698900.0,11.63,55.49,20.27,21.39,3.08,1997-12-31,1997.0,stock_financial_abstract_ths,000538,云南白药,中药
1998-06-30,90631400.0,22843700.0,,68.46,26.65,16.87,4.35,1998-06-30,1998.0,stock_financial_abstract_ths,000538,云南白药,中药
1998-12-31,165000000.0,28777900.0,12.82,66.83,20.86,20.51,3.99,1998-12-31,1998.0,stock_financial_abstract_ths,000538,云南白药,中药
1999-06-30,80358100.0,19721200.0,,67.82,25.63,21.49,3.91,1999-06-30,1999.0,stock_financial_abstract_ths,000538,云南白药,中药
1999-12-31,231999999.99999997,33500600.0,,55.28,16.01,46.11,1.59,1999-12-31,1999.0,stock_financial_abstract_ths,000538,云南白药,中药
2000-06-30,396000000.0,26130600.0,,28.12,6.88,43.96,1.3,2000-06-30,2000.0,stock_financial_abstract_ths,000538,云南白药,中药
2000-12-31,795000000.0,48399700.0,12.32,30.6,6.73,46.07,1.24,2000-12-31,2000.0,stock_financial_abstract_ths,000538,云南白药,中药
2001-06-30,393000000.0,43619399.99999999,10.9,35.14,11.74,43.23,1.63,2001-06-30,2001.0,stock_financial_abstract_ths,000538,云南白药,中药
2001-09-30,664000000.0,69564600.0,,33.29,10.69,,,2001-09-30,2001.0,stock_financial_abstract_ths,000538,云南白药,中药
2001-12-31,900000000.0,75137000.0,18.07,34.86,8.98,43.85,1.53,2001-12-31,2001.0,stock_financial_abstract_ths,000538,云南白药,中药
2002-03-31,227000000.0,19120900.0,,35.09,8.75,44.37,1.56,2002-03-31,2002.0,stock_financial_abstract_ths,000538,云南白药,中药
2002-06-30,488999999.99999994,45214600.0,,36.12,9.74,41.29,1.68,2002-06-30,2002.0,stock_financial_abstract_ths,000538,云南白药,中药
2002-09-30,786000000.0,70604300.0,,36.27,9.58,39.79,1.78,2002-09-30,2002.0,stock_financial_abstract_ths,000538,云南白药,中药
2002-12-31,1101000000.0,93687600.0,20.18,35.92,9.08,42.95,1.59,2002-12-31,2002.0,stock_financial_abstract_ths,000538,云南白药,中药
2003-03-31,286000000.0,25710700.0,,32.43,9.19,41.43,1.67,2003-03-31,2003.0,stock_financial_abstract_ths,000538,云南白药,中药
2003-06-30,623000000.0,60520000.0,,32.02,10.2,39.93,1.72,2003-06-30,2003.0,stock_financial_abstract_ths,000538,云南白药,中药
2003-09-30,956000000.0,91790000.0,,32.06,10.07,38.94,1.81,2003-09-30,2003.0,stock_financial_abstract_ths,000538,云南白药,中药
2003-12-31,1345000000.0,113999999.99999999,19.61,30.98,8.82,38.01,1.9,2003-12-31,2003.0,stock_financial_abstract_ths,000538,云南白药,中药
2004-03-31,372000000.0,32887900.0,,27.24,8.99,39.49,1.89,2004-03-31,2004.0,stock_financial_abstract_ths,000538,云南白药,中药
2004-06-30,852000000.0,75555700.0,12.14,31.13,9.17,45.2,1.66,2004-06-30,2004.0,stock_financial_abstract_ths,000538,云南白药,中药
2004-09-30,1327000000.0,126000000.0,,30.86,9.78,42.29,1.81,2004-09-30,2004.0,stock_financial_abstract_ths,000538,云南白药,中药
2004-12-31,1832000000.0,171000000.0,27.27,30.46,9.65,41.74,1.88,2004-12-31,2004.0,stock_financial_abstract_ths,000538,云南白药,中药
2005-03-31,519000000.00000006,50088800.0,,29.13,9.99,41.38,1.94,2005-03-31,2005.0,stock_financial_abstract_ths,000538,云南白药,中药
2005-06-30,1133000000.0,114999999.99999999,15.73,29.14,10.43,47.56,1.71,2005-06-30,2005.0,stock_financial_abstract_ths,000538,云南白药,中药
2005-09-30,1782999999.9999998,176000000.0,,28.66,10.12,48.09,1.71,2005-09-30,2005.0,stock_financial_abstract_ths,000538,云南白药,中药
2005-12-31,2448000000.0,229999999.99999997,30.91,27.96,9.61,44.16,1.85,2005-12-31,2005.0,stock_financial_abstract_ths,000538,云南白药,中药
2006-03-31,730000000.0,68644100.0,,32.55,9.69,46.28,1.8,2006-03-31,2006.0,stock_financial_abstract_ths,000538,云南白药,中药
2006-06-30,1473000000.0,141000000.0,15.96,29.84,9.82,47.36,1.76,2006-06-30,2006.0,stock_financial_abstract_ths,000538,云南白药,中药
2006-09-30,2315000000.0,211000000.0,,28.94,9.35,49.29,1.72,2006-09-30,2006.0,stock_financial_abstract_ths,000538,云南白药,中药
2006-12-31,3204000000.0,272000000.0,29.32,29.02,8.72,47.74,1.8,2006-12-31,2006.0,stock_financial_abstract_ths,000538,云南白药,中药
2007-03-31,855000000.0000001,74158100.0,,27.63,8.97,48.74,1.78,2007-03-31,2007.0,stock_financial_abstract_ths,000538,云南白药,中药
2007-06-30,1757999999.9999998,150000000.0,13.29,28.26,8.99,51.86,1.68,2007-06-30,2007.0,stock_financial_abstract_ths,000538,云南白药,中药
2007-09-30,2862000000.0,225000000.0,,26.99,8.37,53.3,1.66,2007-09-30,2007.0,stock_financial_abstract_ths,000538,云南白药,中药
2007-12-31,4263000000.0000005,330000000.0,28.18,30.99,8.22,50.24,1.8,2007-12-31,2007.0,stock_financial_abstract_ths,000538,云南白药,中药
2008-03-31,1132000000.0,85304800.0,,26.5,7.64,48.85,1.84,2008-03-31,2008.0,stock_financial_abstract_ths,000538,云南白药,中药
2008-06-30,2730000000.0,199000000.0,13.18,27.56,7.44,51.23,1.75,2008-06-30,2008.0,stock_financial_abstract_ths,000538,云南白药,中药
2008-09-30,4108000000.0,305000000.0,0.0,26.95,7.51,52.29,1.71,2008-09-30,2008.0,stock_financial_abstract_ths,000538,云南白药,中药
2008-12-31,5723000000.0,465000000.00000006,29.4,30.84,8.1,35.46,2.6,2008-12-31,2008.0,stock_financial_abstract_ths,000538,云南白药,中药
2009-03-31,1523000000.0,112999999.99999999,0.0,23.28,7.46,37.57,2.45,2009-03-31,2009.0,stock_financial_abstract_ths,000538,云南白药,中药
