date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2019-01-02,37.19,35.28,37.25,35.12,39175,283258336.0,5.8,-3.95,-1.45,0.38,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-03,35.7,33.9,35.7,33.46,53736,377536912.0,6.35,-3.91,-1.38,0.52,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-04,33.2,34.58,35.05,33.19,28201,199110895.0,5.49,2.01,0.68,0.27,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-07,35.17,35.62,35.87,34.19,42819,308707904.0,4.86,3.01,1.04,0.41,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-08,35.5,36.9,37.29,35.19,47934,352379680.0,5.9,3.59,1.28,0.46,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-09,36.95,36.98,38.28,36.67,54877,413092240.0,4.36,0.22,0.08,0.53,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-10,36.68,36.5,37.55,36.28,25162,185929246.0,3.43,-1.3,-0.48,0.24,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-11,36.54,36.56,36.9,35.57,29551,216115392.0,3.64,0.16,0.06,0.28,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-14,36.69,35.39,36.76,35.34,28748,209015803.0,3.88,-3.2,-1.17,0.28,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-15,35.39,37.57,37.69,35.39,38232,283569712.0,6.5,6.16,2.18,0.37,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-16,37.93,38.9,38.97,37.55,50812,388335984.0,3.78,3.54,1.33,0.49,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-17,38.9,38.08,39.32,37.94,36775,281519872.0,3.55,-2.11,-0.82,0.35,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-18,38.19,39.96,40.19,38.13,54558,424090400.0,5.41,4.94,1.88,0.52,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-21,39.95,39.99,40.65,39.47,50002,393424624.0,2.95,0.08,0.03,0.48,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-22,39.9,39.15,39.9,38.69,33468,258742985.0,3.03,-2.1,-0.84,0.32,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-23,38.76,40.18,40.47,38.76,35891,281421888.0,4.37,2.63,1.03,0.34,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-24,40.01,40.77,40.93,39.15,32670,258547861.0,4.43,1.47,0.59,0.31,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-25,40.78,39.78,41.17,39.62,28300,223708776.0,3.8,-2.43,-0.99,0.27,qfq,stock_zh_a_hist,000538,云南白药,中药
2019-01-28,39.82,39.62,40.63,38.72,48860,380856896.0,4.8,-0.4,-0.16,0.47,qfq,stock_zh_a_hist,000538,云南白药,中药
