period,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,period_date,year,source,symbol,name,sector
2007-12-31,129000000.0,7424600.0,53.25,51.1,5.74,91.88,0.56,2007-12-31,2007.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2008-12-31,184000000.0,34700000.0,48.75,78.87,18.85,67.42,0.89,2008-12-31,2008.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2009-12-31,239000000.0,76331400.0,55.91,86.36,31.92,54.76,2.25,2009-12-31,2009.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2010-03-31,34865400.0,9659700.0,5.38,92.01,27.71,,,2010-03-31,2010.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2010-06-30,127000000.0,56561899.99999999,27.87,91.89,44.67,62.65,1.11,2010-06-30,2010.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2010-09-30,224000000.00000003,102000000.0,,91.19,45.64,59.21,1.18,2010-09-30,2010.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2010-12-31,359000000.0,154000000.0,35.33,90.88,43.04,14.58,7.87,2010-12-31,2010.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2011-03-31,48404300.0,19968300.0,0.78,91.87,41.25,8.45,15.32,2011-03-31,2011.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2011-06-30,181000000.0,83845300.0,3.23,91.21,46.43,8.64,14.55,2011-06-30,2011.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2011-09-30,295000000.0,135000000.0,5.15,90.95,45.65,8.8,14.08,2011-09-30,2011.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2011-12-31,474000000.0,208000000.0,7.85,91.16,43.8,9.76,9.3,2011-12-31,2011.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2012-03-31,55510800.0,23362000.0,0.86,90.01,42.09,8.12,11.22,2012-03-31,2012.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2012-06-30,229000000.0,108000000.0,3.91,88.64,47.15,8.94,9.55,2012-06-30,2012.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2012-09-30,352000000.0,155000000.0,5.61,88.46,44.16,16.95,4.82,2012-09-30,2012.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2012-12-31,538000000.0,233000000.0,8.31,88.11,41.92,28.78,2.34,2012-12-31,2012.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2013-03-31,94003300.0,25858500.0,,85.46,17.11,28.53,2.26,2013-03-31,2013.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2013-06-30,235000000.0,76883700.0,2.57,84.24,28.46,29.85,1.97,2013-06-30,2013.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2013-09-30,354000000.0,36707400.0,1.24,74.85,4.02,42.3,1.13,2013-09-30,2013.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2013-12-31,583000000.0,47893100.00000001,1.5,72.28,0.84,52.11,1.43,2013-12-31,2013.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2014-03-31,187000000.0,-51368100.00000001,-1.76,45.49,-31.89,52.35,1.19,2014-03-31,2014.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2014-06-30,401999999.99999994,-61861100.0,-2.28,47.71,-20.63,51.05,1.16,2014-06-30,2014.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2014-09-30,587000000.0,-150000000.0,-5.63,44.12,-30.92,51.28,1.1,2014-09-30,2014.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2014-12-31,719000000.0,143000000.0,5.11,43.4,13.45,46.18,1.57,2014-12-31,2014.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2015-03-31,172000000.0,-48259799.99999999,-1.69,40.69,-33.14,45.85,1.63,2015-03-31,2015.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2015-06-30,413999999.99999994,-67124900.0,-2.36,44.75,-20.93,49.19,1.3,2015-06-30,2015.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2015-09-30,711000000.0,-112000000.00000001,-3.96,43.8,-19.11,44.81,1.69,2015-09-30,2015.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2015-12-31,1006000000.0,-841000000.0,-33.62,42.85,-91.91,51.68,1.08,2015-12-31,2015.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2016-03-31,211000000.0,-42054100.0,-1.86,40.83,-24.14,57.26,1.15,2016-03-31,2016.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2016-06-30,293000000.0,-162000000.0,-7.35,39.7,-64.71,58.71,0.85,2016-06-30,2016.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2016-09-30,398000000.0,-234000000.0,-10.78,44.95,-69.24,58.69,0.8,2016-09-30,2016.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2016-12-31,591000000.0,70458700.0,2.85,52.5,5.08,44.28,1.53,2016-12-31,2016.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2017-03-31,86171900.0,-29299300.0,-0.92,55.84,-40.99,41.33,1.45,2017-03-31,2017.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2017-06-30,256999999.99999997,-43016200.0,-1.35,62.0,-20.35,39.03,1.45,2017-06-30,2017.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2017-09-30,434999999.99999994,-39314300.0,-1.24,64.33,-11.94,39.31,1.4,2017-09-30,2017.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2017-12-31,668000000.0,-537000000.0,-18.13,67.78,-83.54,39.46,1.52,2017-12-31,2017.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2018-03-31,118000000.0,23758300.0,0.76,78.21,23.36,29.95,2.63,2018-03-31,2018.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2018-06-30,375000000.0,73160200.0,2.24,80.04,23.06,28.8,2.78,2018-06-30,2018.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2018-09-30,573000000.0,91120600.0,2.75,80.2,18.96,27.74,2.89,2018-09-30,2018.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2018-12-31,878999999.9999999,1046000000.0000001,26.99,80.39,120.89,27.38,2.7,2018-12-31,2018.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2019-03-31,176000000.0,38733200.0,0.87,76.09,26.8,23.59,2.71,2019-03-31,2019.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2019-06-30,501000000.0,84934900.0,1.83,78.79,21.93,21.09,3.07,2019-06-30,2019.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2019-09-30,797000000.0,120000000.0,2.54,79.67,20.11,20.52,3.06,2019-09-30,2019.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2019-12-31,1121000000.0,142000000.0,3.01,79.75,17.31,19.26,3.16,2019-12-31,2019.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2020-03-31,112000000.00000001,-18117700.0,-0.37,65.19,-16.06,18.64,3.21,2020-03-31,2020.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2020-06-30,573000000.0,61491100.0,1.25,79.15,15.91,16.07,3.65,2020-06-30,2020.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2020-09-30,1567000000.0,434999999.99999994,8.46,86.29,34.56,20.42,2.98,2020-09-30,2020.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2020-12-31,2939000000.0,1002999999.9999999,18.12,86.4,41.21,18.58,3.36,2020-12-31,2020.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2021-03-31,434000000.0,32158800.0,0.48,87.43,17.84,18.22,3.62,2021-03-31,2021.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2021-06-30,1350000000.0,319000000.0,4.54,87.69,30.19,19.72,3.16,2021-06-30,2021.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2021-09-30,2129000000.0,364000000.0,5.12,87.32,22.75,23.51,2.76,2021-09-30,2021.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2021-12-31,3463000000.0000005,428000000.0,5.82,88.61,17.37,26.88,2.37,2021-12-31,2021.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2022-03-31,656000000.0,38620500.0,0.45,88.42,10.18,26.08,2.58,2022-03-31,2022.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2022-06-30,2348000000.0,421000000.0,4.81,87.53,21.38,28.3,2.48,2022-06-30,2022.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2022-09-30,3706000000.0,530999999.99999994,6.05,88.28,18.58,27.52,2.56,2022-09-30,2022.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2022-12-31,5086000000.0,729000000.0,8.23,88.02,18.45,28.3,2.55,2022-12-31,2022.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2023-03-31,833000000.0,172000000.0,1.88,85.02,23.8,27.5,2.66,2023-03-31,2023.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2023-06-30,2168000000.0,455000000.0,4.9,87.43,25.95,26.73,2.76,2023-06-30,2023.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2023-09-30,3158000000.0,553000000.0,5.94,85.71,22.08,25.59,2.9,2023-09-30,2023.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2023-12-31,4114000000.0,419000000.00000006,4.54,85.47,12.43,26.9,2.73,2023-12-31,2023.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2024-03-31,600000000.0,14127500.0,0.15,81.07,6.39,25.69,2.85,2024-03-31,2024.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2024-06-30,1433000000.0,171000000.0,1.81,80.0,17.97,22.86,2.94,2024-06-30,2024.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2024-09-30,2141000000.0,256000000.0,2.71,79.42,16.37,21.82,3.1,2024-09-30,2024.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2024-12-31,2821000000.0,142000000.0,1.51,79.69,6.18,21.84,2.98,2024-12-31,2024.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2025-03-31,462000000.0,2646200.0,0.03,71.48,-4.26,20.02,3.27,2025-03-31,2025.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2025-06-30,1154000000.0,43160600.00000001,0.45,70.28,-0.61,23.11,2.82,2025-06-30,2025.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2025-09-30,1719000000.0000002,163000000.0,1.72,71.69,6.02,17.42,3.52,2025-09-30,2025.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2025-12-31,2418000000.0,178000000.0,1.91,74.56,5.18,20.99,2.35,2025-12-31,2025.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
2026-03-31,444000000.00000006,111000000.00000001,1.41,68.47,25.78,29.79,2.16,2026-03-31,2026.0,stock_financial_abstract_ths,300142,沃森生物,疫苗
