date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2019-01-02,23.09,21.31,23.32,21.28,160395,594656576.0,8.83,-7.79,-1.8,1.85,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-03,21.39,21.33,21.71,21.15,102434,371457088.0,2.63,0.09,0.02,1.18,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-04,21.6,22.35,22.37,21.37,117691,435135968.0,4.69,4.78,1.02,1.36,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-07,22.57,22.63,22.65,21.97,95056,357253264.0,3.04,1.25,0.28,1.1,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-08,22.47,22.8,23.2,22.3,79269,304873440.0,3.98,0.75,0.17,0.91,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-09,22.9,22.9,23.6,22.81,102659,399845344.0,3.46,0.44,0.1,1.18,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-10,22.73,22.17,22.91,22.0,99839,377182800.0,3.97,-3.19,-0.73,1.15,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-11,22.18,22.39,22.43,22.0,54231,203515442.0,1.94,0.99,0.22,0.63,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-14,22.4,20.8,22.4,20.53,199017,709121296.0,8.35,-7.1,-1.59,2.3,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-15,20.77,21.59,21.62,20.65,107367,387441840.0,4.66,3.8,0.79,1.24,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-16,21.74,22.24,22.67,21.61,125707,470283648.0,4.91,3.01,0.65,1.45,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-17,22.2,22.11,22.4,21.6,84938,316516496.0,3.6,-0.58,-0.13,0.98,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-18,22.26,22.65,22.9,22.0,97147,369372464.0,4.07,2.44,0.54,1.12,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-21,22.75,22.73,23.33,22.46,100047,384867904.0,3.84,0.35,0.08,1.15,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-22,22.68,22.14,22.78,21.83,79939,298700368.0,4.18,-2.6,-0.59,0.92,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-23,21.97,21.94,22.1,21.62,53324,196597323.0,2.17,-0.9,-0.2,0.62,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-24,21.97,21.87,22.13,21.25,81550,298923200.0,4.01,-0.32,-0.07,0.94,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-25,21.92,21.83,22.05,21.71,60980,225258936.0,1.55,-0.18,-0.04,0.7,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-28,22.05,21.83,22.26,21.57,65122,240925275.0,3.16,0.0,0.0,0.75,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-29,21.85,21.43,22.17,21.2,92031,335961328.0,4.44,-1.83,-0.4,1.06,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-30,21.43,20.53,21.55,20.43,139484,490845872.0,5.23,-4.2,-0.9,1.61,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-01-31,20.65,20.13,20.68,19.91,102543,353749056.0,3.75,-1.95,-0.4,1.18,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-01,20.35,21.76,21.87,20.23,153504,552803280.0,8.15,8.1,1.63,1.77,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-11,21.53,22.41,22.57,21.2,147788,555038192.0,6.3,2.99,0.65,1.7,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-12,22.53,23.21,23.6,22.45,169999,662613296.0,5.13,3.57,0.8,1.96,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-13,23.47,23.35,23.6,23.07,161909,633912736.0,2.28,0.6,0.14,1.87,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-14,23.37,23.69,24.01,23.27,104067,412187456.0,3.17,1.46,0.34,1.2,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-15,23.47,23.43,23.78,23.33,91174,359779088.0,1.9,-1.1,-0.26,1.05,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-18,23.8,24.62,24.77,23.8,137457,558314544.0,4.14,5.08,1.19,1.59,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-19,24.87,24.17,25.08,23.91,122475,498401200.0,4.75,-1.83,-0.45,1.41,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
2019-02-20,23.97,23.87,24.3,23.49,98741,393406880.0,3.35,-1.24,-0.3,1.14,qfq,stock_zh_a_hist,300122,智飞生物,疫苗
