removed_indicator,removed_indicator_label,latest_rank_after_removal,latest_rank_change,latest_score_after_removal,latest_score_change,spearman_vs_baseline,top5_overlap
revenue,营业收入,8,1,0.3248480132515537,-0.13597198079613187,0.9933155080213905,5
net_margin,净利率,7,0,0.4609392199120844,0.00011922586439883087,0.9996657754010695,5
gross_margin,毛利率,7,0,0.45970317637671476,-0.0011168176709708266,0.9989973262032087,5
current_ratio,流动比率,7,0,0.43858950652551015,-0.022230487522175435,0.9949866310160428,5
asset_liability_ratio,资产负债率,7,0,0.4486930918984031,-0.01212690214928247,0.9852941176470589,5
revenue_growth,营收增长率,7,0,0.4777541330681956,0.016934139020509997,0.9608957219251338,5
net_profit_growth,净利润增长率,7,0,0.460125535063451,-0.0006944589842345916,0.9996657754010695,5
roe,ROE,6,-1,0.4616544808866819,0.0008344868389962845,0.9749331550802139,5
net_profit,净利润,5,-2,0.660105583336771,0.19928558928908546,0.9976604278074868,4
