indicator,pc1_loading,pc2_loading,indicator_label,loading_norm
revenue,0.48400877225208055,-0.24284242799536923,营业收入,0.5415135607273861
net_profit,0.4168756419144266,-0.038857540650084184,净利润,0.41868270717446426
roe,0.19354176738676987,0.5114075296590611,ROE,0.5468053374969725
gross_margin,0.29489203843295114,-0.27890229455301174,毛利率,0.4058913699970425
net_margin,0.22926076308403084,0.5316545651378919,净利率,0.5789793382512307
asset_liability_ratio,0.4777155590632327,0.08872970750504233,资产负债率,0.4858859087944693
current_ratio,0.4235463978318792,-0.15479229477667106,流动比率,0.45094590101096194
revenue_growth,-0.0430016398163512,0.31745304060950696,营收增长率,0.3203522655126954
net_profit_growth,0.07427740237049148,0.4300312433541103,净利润增长率,0.43639890325663044
