model,task,window,horizon,metric,value,fold
base,classification,20,5,trade_penalty,0.002,test_2025
base,classification,20,5,market_filter_min,0.0,test_2025
base,classification,20,5,num_layers,2.0,test_2025
base,classification,20,5,hidden_size,64.0,test_2025
base,classification,20,5,best_epoch,9.0,test_2025
base,classification,20,5,best_valid_loss,0.7197646498680115,test_2025
base,classification,20,5,epochs_trained,19.0,test_2025
fusion,classification,20,5,Accuracy,0.551440329218107,test_2025
fusion,classification,20,5,Precision,0.5,test_2025
fusion,classification,20,5,Recall,0.07339449541284404,test_2025
fusion,classification,20,5,F1-score,0.128,test_2025
fusion,classification,20,5,DirectionHitRate,0.551440329218107,test_2025
fusion,classification,20,5,strategy_cum_return,-0.17225698194172923,test_2025
fusion,classification,20,5,buy_hold_cum_return,0.17280695352318154,test_2025
fusion,classification,20,5,max_drawdown,-0.3510371233374483,test_2025
fusion,classification,20,5,trade_count,2.0,test_2025
fusion,classification,20,5,total_transaction_cost,0.002,test_2025
fusion,classification,20,5,threshold,0.55,test_2025
fusion,classification,20,5,sell_threshold,0.54,test_2025
fusion,classification,20,5,valid_risk_adjusted_return_at_threshold,-0.06834662417496622,test_2025
fusion,classification,20,5,valid_trade_count,6.0,test_2025
fusion,classification,20,5,threshold_objective,risk_adjusted_return,test_2025
fusion,classification,20,5,threshold_mode,dual,test_2025
fusion,classification,20,5,min_hold_proba,0.55,test_2025
fusion,classification,20,5,min_valid_trades,5.0,test_2025
fusion,classification,20,5,drawdown_penalty,0.5,test_2025
fusion,classification,20,5,trade_penalty,0.002,test_2025
fusion,classification,20,5,market_filter_min,0.0,test_2025
fusion,classification,20,5,num_layers,2.0,test_2025
fusion,classification,20,5,hidden_size,64.0,test_2025
fusion,classification,20,5,best_epoch,1.0,test_2025
fusion,classification,20,5,best_valid_loss,0.7170394659042358,test_2025
fusion,classification,20,5,epochs_trained,11.0,test_2025
naive_momentum,classification,20,5,Accuracy,0.38,test_2026
naive_momentum,classification,20,5,Precision,0.11428571428571428,test_2026
naive_momentum,classification,20,5,Recall,0.11428571428571428,test_2026
naive_momentum,classification,20,5,F1-score,0.11428571428571428,test_2026
naive_momentum,classification,20,5,DirectionHitRate,0.38,test_2026
naive_momentum,classification,20,5,strategy_cum_return,-0.7167077131094239,test_2026
naive_momentum,classification,20,5,buy_hold_cum_return,-0.851063341649027,test_2026
naive_momentum,classification,20,5,max_drawdown,-0.7167077131094239,test_2026
naive_momentum,classification,20,5,trade_count,24.0,test_2026
naive_momentum,classification,20,5,total_transaction_cost,0.024,test_2026
naive_momentum,classification,20,5,threshold,0.0,test_2026
base,classification,20,5,Accuracy,0.65,test_2026
base,classification,20,5,Precision,0.0,test_2026
base,classification,20,5,Recall,0.0,test_2026
base,classification,20,5,F1-score,0.0,test_2026
base,classification,20,5,DirectionHitRate,0.65,test_2026
base,classification,20,5,strategy_cum_return,0.0,test_2026
base,classification,20,5,buy_hold_cum_return,-0.851063341649027,test_2026
base,classification,20,5,max_drawdown,0.0,test_2026
base,classification,20,5,trade_count,0.0,test_2026
base,classification,20,5,total_transaction_cost,0.0,test_2026
base,classification,20,5,threshold,0.55,test_2026
base,classification,20,5,sell_threshold,0.3,test_2026
base,classification,20,5,valid_risk_adjusted_return_at_threshold,0.0,test_2026
base,classification,20,5,valid_trade_count,0.0,test_2026
base,classification,20,5,threshold_objective,risk_adjusted_return,test_2026
base,classification,20,5,threshold_mode,dual,test_2026
base,classification,20,5,min_hold_proba,0.55,test_2026
base,classification,20,5,min_valid_trades,5.0,test_2026
base,classification,20,5,drawdown_penalty,0.5,test_2026
