source,variant,top_k,min_probability,periods,total_return,benchmark_total_return,excess_total_return,annualized_return,benchmark_annualized_return,sharpe,max_drawdown,win_rate,avg_period_return,avg_excess_return,avg_turnover,avg_selected_count,selected_positive_rate
panel,lightgbm_valuation,5,0.0,69,0.08805316095413773,-0.09856936283493556,0.1866225237890733,0.06358087351851016,-0.07299730888292766,0.3988382539608826,-0.190250993147132,0.5072463768115942,0.001651101817409524,0.0027123004649724403,0.4840579710144927,5.0,0.463768115942029
dual_branch,dual_branch_lstm,5,0.0,69,-0.009260187473806414,-0.09856936283493556,0.08930917536112915,-0.006772438467435804,-0.07299730888292766,0.07407029821268982,-0.2818321941487464,0.4782608695652174,0.0003134010880546865,0.0013745997356176035,0.35072463768115936,5.0,0.4463768115942029
panel,lightgbm_financial,3,0.0,69,-0.01232194367429551,-0.09856936283493556,0.08624741916064005,-0.009015402421425844,-0.07299730888292766,0.08142046714513071,-0.21453163820058596,0.43478260869565216,0.00039002219055172643,0.0014512208381146428,0.8067632850241545,3.0,0.46859903381642515
panel,lightgbm_market,3,0.0,69,-0.014227466957961843,-0.09856936283493556,0.08434189587697372,-0.01041228600876043,-0.07299730888292766,0.06749708832749089,-0.21166499720837373,0.4492753623188406,0.0003070287206198155,0.0013682273681827324,0.971014492753623,3.0,0.4251207729468599
panel,lightgbm_financial,5,0.0,69,-0.04380227521232649,-0.09856936283493556,0.05476708762260907,-0.032187186202885965,-0.07299730888292766,-0.023443599491666356,-0.2261043523064602,0.5072463768115942,-0.00010846678336773766,0.0009527318641951787,0.4956521739130434,5.0,0.4405797101449275
panel,random_forest_financial,1,0.0,69,-0.04877609882139733,-0.09856936283493556,0.04979326401353823,-0.03586695500936088,-0.07299730888292766,0.021468857516089908,-0.2542995330695855,0.4492753623188406,0.0001263721222787618,0.001187570769841678,1.2028985507246377,1.0,0.463768115942029
panel,logistic_financial,5,0.0,69,-0.06000193154349431,-0.09856936283493556,0.038567431291441245,-0.04419125931142287,-0.07299730888292766,-0.07996200006065282,-0.278780143842543,0.5072463768115942,-0.00036795404404957473,0.0006932446035133418,0.24057971014492754,5.0,0.4463768115942029
panel,lightgbm_market,5,0.0,69,-0.06573967731979558,-0.09856936283493556,0.032829685515139984,-0.04845631653390259,-0.07299730888292766,-0.10606406102183787,-0.2796478004521349,0.4927536231884058,-0.0004782034891713581,0.000582995158391559,0.5594202898550724,5.0,0.45217391304347826
panel,lightgbm_valuation,3,0.0,69,-0.0742637018544553,-0.09856936283493556,0.02430566098048026,-0.05480557154721666,-0.07299730888292766,-0.12783448281423818,-0.2483987974943771,0.463768115942029,-0.0005898379040627027,0.00047136074350021386,0.9033816425120771,3.0,0.43478260869565216
panel,lightgbm_market,1,0.0,69,-0.07496743051432564,-0.09856936283493556,0.02360193232060992,-0.05533045762534339,-0.07299730888292766,-0.06626871046499473,-0.2164430456367784,0.43478260869565216,-0.0003655265354099471,0.0006956721121529697,1.5217391304347827,1.0,0.4492753623188406
panel,lightgbm_base,5,0.0,69,-0.0944331673244817,-0.09856936283493556,0.004136195510453855,-0.06989229866082203,-0.07299730888292766,-0.20477872032685746,-0.31378363258543973,0.4927536231884058,-0.0009254023288047643,0.0001357963187581523,0.5304347826086955,5.0,0.4289855072463768
panel,lightgbm_market,2,0.0,69,-0.09821294910884959,-0.09856936283493556,0.000356413726085969,-0.07272960084787372,-0.07299730888292766,-0.19322964621221034,-0.23007015633731875,0.43478260869565216,-0.0009250773816615321,0.00013612126590138477,1.1594202898550725,2.0,0.42028985507246375
panel,random_forest_financial,5,0.0,69,-0.12183981347319828,-0.09856936283493556,-0.02327045063826272,-0.09053854052525967,-0.07299730888292766,-0.3350527649337519,-0.2589889452462816,0.4927536231884058,-0.0014255742106272428,-0.00036437556306432575,0.30434782608695643,5.0,0.4492753623188406
panel,logistic_financial,3,0.0,69,-0.12389644222525331,-0.09856936283493556,-0.025327079390317753,-0.09209481110508866,-0.07299730888292766,-0.2838319032004618,-0.3034349243834864,0.5362318840579711,-0.001348003678638283,-0.0002868050310753667,0.33333333333333326,3.0,0.45893719806763283
panel,random_forest_financial,3,0.0,69,-0.12618750959054725,-0.09856936283493556,-0.027618146755611694,-0.09382964370840974,-0.07299730888292766,-0.31449964380929435,-0.28323992895934635,0.5362318840579711,-0.0014315916489504876,-0.00037039300138757056,0.6425120772946858,3.0,0.4444444444444444
panel,random_forest_financial,2,0.0,69,-0.12704454034267,-0.09856936283493556,-0.028475177507734428,-0.09447891602378033,-0.07299730888292766,-0.24895041670535673,-0.2313500027044596,0.5072463768115942,-0.0012977636301702818,-0.00023656498260736609,1.0144927536231885,2.0,0.43478260869565216
dual_branch,dual_branch_lstm,3,0.0,69,-0.14975090937143243,-0.09856936283493556,-0.05118154653649687,-0.11174414988567183,-0.07299730888292766,-0.5541090485075928,-0.320509377218429,0.4782608695652174,-0.0020144998057281885,-0.0009533011581652713,0.46859903381642515,3.0,0.42995169082125606
panel,lightgbm_financial,2,0.0,69,-0.21418187033812153,-0.09856936283493556,-0.11561250750318597,-0.16142950037851844,-0.07299730888292766,-0.4818556102401692,-0.28403587087450355,0.43478260869565216,-0.002703781257444637,-0.0016425826098817216,0.9130434782608695,2.0,0.43478260869565216
panel,logistic_financial,2,0.0,69,-0.21744318893217873,-0.09856936283493556,-0.11887382609724317,-0.1639730224013083,-0.07299730888292766,-0.5868584259908054,-0.37910754438305294,0.4927536231884058,-0.002923151436078115,-0.001861952788515198,0.463768115942029,2.0,0.45652173913043476
dual_branch,dual_branch_lstm,2,0.0,69,-0.22886776259857566,-0.09856936283493556,-0.1302983997636401,-0.17290576659417844,-0.07299730888292766,-1.007812358383028,-0.3049978602228066,0.4927536231884058,-0.003463145916437375,-0.0024019472688744585,0.15942028985507245,2.0,0.39855072463768115
panel,lightgbm_valuation,1,0.0,69,-0.27539356425156747,-0.09856936283493556,-0.1768242014166319,-0.20966034805753475,-0.07299730888292766,-0.6259340416712975,-0.3092991378227161,0.4057971014492754,-0.003758481885220996,-0.00269728323765808,1.289855072463768,1.0,0.4057971014492754
panel,lightgbm_financial,1,0.0,69,-0.3006640062919502,-0.09856936283493556,-0.20209464345701467,-0.22988928603550685,-0.07299730888292766,-0.602697586465275,-0.38623859783767933,0.42028985507246375,-0.004045178722242847,-0.0029839800746799317,1.0869565217391304,1.0,0.42028985507246375
