source,variant,top_k,min_probability,year,periods,total_return,benchmark_total_return,excess_total_return,max_drawdown,win_rate,avg_turnover,avg_selected_count
walk_forward,lightgbm_valuation,2,0.0,2022,49,-0.019801212822707304,-0.2009899557487863,0.181188742926079,-0.24540452599336393,0.5102040816326531,0.9591836734693877,2.0
walk_forward,lightgbm_financial,1,0.0,2022,49,-0.039365064768739466,-0.2009899557487863,0.16162489098004684,-0.4288578373782218,0.4897959183673469,1.3673469387755102,1.0
walk_forward,lightgbm_market,3,0.0,2022,49,-0.08904126284053027,-0.2009899557487863,0.11194869290825604,-0.3126164651648523,0.5306122448979592,0.673469387755102,3.0
walk_forward,lightgbm_financial,5,0.0,2022,49,-0.10071271069196741,-0.2009899557487863,0.1002772450568189,-0.2979286713986298,0.4897959183673469,0.45306122448979586,5.0
walk_forward,lightgbm_financial,3,0.0,2022,49,-0.10827335614089595,-0.2009899557487863,0.09271659960789036,-0.34320360266081773,0.5510204081632653,0.8367346938775508,3.0
walk_forward,lightgbm_valuation,5,0.0,2022,49,-0.1614686523306348,-0.2009899557487863,0.03952130341815152,-0.3255298142869685,0.5102040816326531,0.5428571428571429,5.0
walk_forward,lightgbm_financial,2,0.0,2022,49,-0.21568867872043151,-0.2009899557487863,-0.014698722971645206,-0.43709709361974625,0.5306122448979592,1.0,2.0
walk_forward,lightgbm_valuation,1,0.0,2022,49,-0.2172211668099664,-0.2009899557487863,-0.016231211061180084,-0.45382721696298145,0.4489795918367347,1.3265306122448979,1.0
walk_forward,lightgbm_market,2,0.0,2022,49,-0.27504365226834604,-0.2009899557487863,-0.07405369651955973,-0.3770929152651046,0.5918367346938775,0.8367346938775511,2.0
walk_forward,lightgbm_market,5,0.0,2022,49,-0.2835244709155157,-0.2009899557487863,-0.08253451516672938,-0.4047724421122,0.42857142857142855,0.41224489795918356,5.0
walk_forward,lightgbm_valuation,3,0.0,2022,49,-0.307834102004255,-0.2009899557487863,-0.10684414625546867,-0.3873188792941382,0.40816326530612246,0.9047619047619047,3.0
walk_forward,lightgbm_market,1,0.0,2022,49,-0.625632982326836,-0.2009899557487863,-0.42464302657804964,-0.6480259401563169,0.46938775510204084,1.2040816326530612,1.0
walk_forward,lightgbm_financial,2,0.0,2023,48,-0.04787527750394838,-0.19471953158997524,0.14684425408602686,-0.20972716922085333,0.4375,1.25,2.0
walk_forward,lightgbm_financial,5,0.0,2023,48,-0.06609019764497659,-0.19471953158997524,0.12862933394499865,-0.2105773888486191,0.5208333333333334,0.5333333333333333,5.0
walk_forward,lightgbm_valuation,5,0.0,2023,48,-0.1443243585254319,-0.19471953158997524,0.05039517306454333,-0.2447953458177966,0.4791666666666667,0.5,5.0
walk_forward,lightgbm_financial,3,0.0,2023,48,-0.15477836278619483,-0.19471953158997524,0.0399411688037804,-0.2627569420059632,0.4166666666666667,0.9027777777777777,3.0
walk_forward,lightgbm_market,2,0.0,2023,48,-0.1662091956569388,-0.19471953158997524,0.028510335933036424,-0.26617195867195453,0.4375,1.0,2.0
walk_forward,lightgbm_valuation,3,0.0,2023,48,-0.17012346513004262,-0.19471953158997524,0.02459606645993262,-0.27020804001040133,0.4166666666666667,0.8888888888888888,3.0
walk_forward,lightgbm_market,5,0.0,2023,48,-0.18927135864313216,-0.19471953158997524,0.005448172946843077,-0.2578792543596896,0.4166666666666667,0.5666666666666667,5.0
walk_forward,lightgbm_market,3,0.0,2023,48,-0.19275354301845382,-0.19471953158997524,0.0019659885715214154,-0.28730774481063726,0.4375,0.7916666666666666,3.0
walk_forward,lightgbm_valuation,2,0.0,2023,48,-0.21301375469756312,-0.19471953158997524,-0.01829422310758788,-0.28093849264424764,0.4166666666666667,1.1666666666666667,2.0
walk_forward,lightgbm_financial,1,0.0,2023,48,-0.23540452679775947,-0.19471953158997524,-0.040684995207784236,-0.2622601767537145,0.375,1.4166666666666667,1.0
walk_forward,lightgbm_market,1,0.0,2023,48,-0.24401534359674892,-0.19471953158997524,-0.04929581200677369,-0.33129813125970586,0.4375,1.3333333333333333,1.0
walk_forward,lightgbm_valuation,1,0.0,2023,48,-0.3106008574322465,-0.19471953158997524,-0.11588132584227129,-0.38641785373058013,0.4166666666666667,1.2916666666666667,1.0
walk_forward,lightgbm_financial,1,0.0,2024,49,-0.07192419455459209,-0.23229436597272834,0.16037017141813625,-0.3483921616238571,0.4489795918367347,1.2653061224489797,1.0
walk_forward,lightgbm_valuation,1,0.0,2024,49,-0.08083266690092084,-0.23229436597272834,0.1514616990718075,-0.37574081057290476,0.42857142857142855,1.0204081632653061,1.0
walk_forward,lightgbm_market,2,0.0,2024,49,-0.20355061920817785,-0.23229436597272834,0.028743746764550493,-0.2746480734836513,0.3673469387755102,1.1020408163265305,2.0
