Accuracy,Precision,Recall,F1-score,DirectionHitRate,source,variant,feature_set,model,test_year,train_rows,valid_rows,test_rows,threshold,valid_f1_at_threshold
0.4607438016528926,0.4472826086956522,0.9682352941176471,0.6118959107806692,0.4607438016528926,walk_forward,lightgbm_market,market,lightgbm,2022,3485,1944,1936,0.2,0.5893155258764607
0.4535123966942149,0.4446219382321619,0.9823529411764705,0.6121700879765396,0.4535123966942149,walk_forward,lightgbm_valuation,valuation,lightgbm,2022,3485,1944,1936,0.24,0.5959252971137521
0.44989669421487605,0.44315177154944474,0.9858823529411764,0.6114556731120029,0.44989669421487605,walk_forward,lightgbm_financial,financial,lightgbm,2022,3485,1944,1936,0.2,0.5901089689857502
0.4524793388429752,0.44892613933996856,0.9907514450867052,0.6178803172314348,0.4524793388429752,walk_forward,lightgbm_market,market,lightgbm,2023,5429,1936,1936,0.24,0.6116963312749728
0.4509297520661157,0.4481132075471698,0.9884393063583815,0.6166606563288857,0.4509297520661157,walk_forward,lightgbm_valuation,valuation,lightgbm,2023,5429,1936,1936,0.22,0.6096411743385285
0.44989669421487605,0.44797086368366285,0.9953757225433526,0.6178686759956943,0.44989669421487605,walk_forward,lightgbm_financial,financial,lightgbm,2023,5429,1936,1936,0.22,0.6097031136857349
0.41735537190082644,0.41735537190082644,1.0,0.5889212827988338,0.41735537190082644,walk_forward,lightgbm_market,market,lightgbm,2024,7365,1936,1936,0.2,0.6157798165137615
0.41735537190082644,0.4170124481327801,0.995049504950495,0.5877192982456141,0.41735537190082644,walk_forward,lightgbm_valuation,valuation,lightgbm,2024,7365,1936,1936,0.2,0.6063314711359404
0.41787190082644626,0.4174003107198343,0.9975247524752475,0.588535962029938,0.41787190082644626,walk_forward,lightgbm_financial,financial,lightgbm,2024,7365,1936,1936,0.22,0.6088588588588588
0.5102880658436214,0.5087900723888314,0.9979716024340771,0.673972602739726,0.5102880658436214,walk_forward,lightgbm_market,market,lightgbm,2025,9301,1936,1944,0.36,0.5914254305606449
0.5097736625514403,0.5085095410005157,1.0,0.6741880341880342,0.5097736625514403,walk_forward,lightgbm_valuation,valuation,lightgbm,2025,9301,1936,1944,0.34,0.592619926199262
0.5102880658436214,0.5088357588357588,0.9929006085192698,0.672852233676976,0.5102880658436214,walk_forward,lightgbm_financial,financial,lightgbm,2025,9301,1936,1944,0.42,0.5916852264291017
0.38596491228070173,0.3810126582278481,0.9966887417218543,0.5512820512820513,0.38596491228070173,walk_forward,lightgbm_market,market,lightgbm,2026,11237,1944,798,0.2,0.645350973906652
0.38972431077694236,0.38125802310654683,0.9834437086092715,0.5494912118408881,0.38972431077694236,walk_forward,lightgbm_valuation,valuation,lightgbm,2026,11237,1944,798,0.2,0.6631318487097915
0.38721804511278196,0.37997432605905007,0.9801324503311258,0.547641073080481,0.38721804511278196,walk_forward,lightgbm_financial,financial,lightgbm,2026,11237,1944,798,0.2,0.6704304869442484
