feature,mean_abs_shap
peg,0.5276862395184048
boll_width,0.30947597586206815
ma5,0.2247718880690897
volatility_5d,0.22125602934869762
pe_static,0.1892386073032106
hs300_return_20d,0.18665259902914152
return_5d,0.17532662485864717
chinext_return_20d,0.1589098450106897
volatility_20d,0.12355121885095167
boll_lower,0.12064524688544838
float_market_cap,0.11135085907698873
chinext_volume,0.09357496550438811
ma60,0.09059106830543151
chinext_amplitude,0.08973753596803569
volume_ma5,0.08021978139052373
hs300_close,0.07823596413551853
volume_ma20,0.07262603983930328
net_profit,0.07071141696848669
hs300_change,0.06740873109123473
return_20d,0.06615172242981578
chinext_amount,0.062144156081971914
csi_pharma_amount,0.061101426119001885
macd_signal,0.061042405326986016
amplitude,0.058502478686104344
csi_pharma_open,0.05843815368565951
macd,0.057338823157571876
chinext_change,0.04948725003583529
csi_pharma_change,0.0488253193588707
rsi14,0.04806088592256088
valuation_close,0.047724769612615174
high,0.04644787965795408
close,0.04458204674390687
valuation_pct_change,0.04317836325162261
macd_hist,0.04275169100105824
pe_ttm,0.04176763663108553
total_market_cap,0.04158554249352155
revenue,0.03958934272960154
ma10,0.03729613507927281
csi_pharma_return_20d,0.03583329809812106
ma20,0.03486145799142537
chinext_return_5d,0.033092594265223006
hs300_low,0.03244080651622869
chinext_turnover,0.032035511590556766
csi_pharma_return_5d,0.029985900755537132
chinext_high,0.02846635482778317
pcf,0.02792304274073173
amount,0.0272128624516755
csi_pharma_close,0.026420040980882666
turnover,0.026085884192209977
hs300_pct_change,0.02428064527930622
boll_upper,0.024101863710915883
hs300_return_5d,0.022873493587727396
hs300_high,0.02253312915859136
csi_pharma_high,0.020820431353477102
pb,0.020797120977717614
hs300_amount,0.01979255335543335
chinext_daily_return,0.01940125258893153
hs300_volume,0.019165793811240877
chinext_open,0.016883233685032223
csi_pharma_amplitude,0.016855223030454877
ps,0.014713474477178235
chinext_low,0.014565017404190599
net_profit_growth,0.013773622489559503
volume,0.013453583741716261
csi_pharma_pct_change,0.013383644763370256
csi_pharma_low,0.012220163312119142
hs300_open,0.012208344158837786
revenue_growth,0.011999428676378134
boll_mid,0.011893493898372789
daily_return,0.011795266831845492
pct_change,0.011222927552912317
float_shares,0.011071950879913825
csi_pharma_volume,0.010303466930608681
chinext_close,0.010186465385033778
hs300_turnover,0.010144898115118062
chinext_pct_change,0.01007471670656591
hs300_amplitude,0.008745272316311404
csi_pharma_turnover,0.008591564514150073
total_shares,0.006745471650175497
open,0.006539648216586443
csi_pharma_daily_return,0.0054112169442982645
low,0.004577538288296393
change,0.004073783372759547
topsis_score,0.0033024262414554514
hs300_daily_return,0.0029273617428313093
roe,0.002585841593966976
trade_year,0.001809217669681715
net_margin,0.0015651481444833744
gross_margin,0.0009305365356195189
asset_liability_ratio,0.0
current_ratio,0.0
rank,0.0
