stage,model,f1,strategy_return
单次切分,动量基准,0.3333333333333333,-0.7168846485307769
单次切分,基础 LSTM,0.0396039603960396,0.019491425559631
单次切分,绩效融合 LSTM,0.0,-0.0506223198410208
滚动验证均值,滚动动量基准,0.3159895543473607,-0.2620333007469681
滚动验证均值,滚动基础 LSTM,0.5571048330987168,-0.6143816745216774
滚动验证均值,滚动融合 LSTM,0.5629734305559899,-0.5116351481992857
面板深度模型,双分支 LSTM,0.6373396177009688,-0.1125600164780314
