date,actual_direction,predicted_probability,open,high,low,close,volume,amount,turnover,pct_change,amplitude,change,hs300_open,hs300_close,hs300_high,hs300_low,hs300_volume,hs300_amount,hs300_amplitude,hs300_pct_change,hs300_change,hs300_turnover,hs300_daily_return,hs300_return_5d,hs300_return_20d,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_daily_return,csi_pharma_return_5d,csi_pharma_return_20d,chinext_open,chinext_close,chinext_high,chinext_low,chinext_volume,chinext_amount,chinext_amplitude,chinext_pct_change,chinext_change,chinext_turnover,chinext_daily_return,chinext_return_5d,chinext_return_20d,valuation_close,valuation_pct_change,total_market_cap,float_market_cap,total_shares,float_shares,pe_ttm,pe_static,pb,peg,pcf,ps,daily_return,return_5d,return_20d,ma5,ma10,ma20,ma60,volume_ma5,volume_ma20,volatility_5d,volatility_20d,rsi14,macd,macd_signal,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,trade_year,revenue,net_profit,roe,gross_margin,net_margin,asset_liability_ratio,current_ratio,revenue_growth,net_profit_growth,topsis_score,rank
2025-05-13,1,0.6850016175725359,0.002617483935968894,0.02831398219600044,0.015545861342782892,0.017017726578147395,-0.01644240820554181,-0.024339180583657315,0.007799112890163205,-0.0039668641350110445,0.025278725657634556,-0.00648868392922686,0.008074336535949512,0.0059708520883318475,-0.016971066952866667,0.03330790939488646,-0.026162991354061298,-0.06388136147281272,0.011716330383728124,0.11910842878034873,0.04706852425562205,-0.00715827708726336,0.0017987178672337497,-0.05166496386758525,-0.10128006592500721,0.24160585230137635,0.06599055978483206,0.001921346231821567,0.015380904969504155,-0.0016586389240256592,0.029317670966575064,0.04166735284989066,-0.013793057542144537,0.0017051194984455105,-0.006647997451644413,-0.0031354645113101614,0.038194326123982776,-0.04170245650842513,0.012229742472848413,0.011282385715904605,0.014102317911123251,-0.0011005887871622273,-0.02288752503362933,-0.05226615123178366,0.027938389365929992,0.0014195907664240072,-0.010871681193974464,-0.005202712305194109,0.010906797826058984,-0.006093410448596971,0.2181516981471887,0.03836192461391857,-0.024850341941059267,0.023353124811412454,0.13331185287241762,0.005501156225406012,-0.006992138771228931,0.011129652472238332,-0.020854998004336912,0.01044463823797179,-0.5585703450930332,0.007072160954009809,0.027446644931577807,-0.006723334700645174,-0.3186319547755594,0.005557048291593602,0.08419052844054419,0.01789048157273571,0.0386518679097413,-0.10211537016199979,0.016034979606020197,0.10368280973343763,-0.002897117292059346,0.16687691204460292,0.0053157970769461115,0.013355699465139622,-0.01841725892748342,0.06336908884301785,0.004132104027344759,-0.02904544419824312,0.3547848247564495,0.12963860683687872,-7.1576422134523796e-06,0.05197489940930086,0.08329538986281268,0.0015284526939427392,-0.0002851882241746654,0.0023568884840863783,0.0,0.0,-0.008178815898550566,-0.015391503873483437,0.0017474616418134321,0.0
2025-05-14,1,0.7452765851560352,0.0019935118663951925,0.027858812059818508,0.0020575065186922868,0.018717393049488593,-0.00042602473527685004,-0.014351787480796165,0.017107439684546585,-0.0032243257430622425,-0.3133071667998567,0.0012753846401417559,0.008019219988688741,-0.05052784380993173,-0.006538518493609901,0.021802600533263283,-0.013028523466748472,-0.03042485693097559,0.007623810364789668,0.05480642628709405,-0.08288989001675989,0.01864094674137934,0.0017987178672337497,-0.01296815867431303,0.3999289368683207,0.26277971391511534,0.05455801562095692,0.017110912698432554,0.02133426572881966,-0.00060218250422858,0.021638084007362907,0.0019301240319802733,-0.038082383952989456,0.032558781227599934,-0.0039039835947443655,-0.005362487449375895,0.0502091881101931,-0.03499708626800354,0.011532857726029376,0.010396665545109112,0.01404216518197786,-0.0005513258025464964,-0.018704755674538314,-0.046982627441298906,0.13165345541527412,0.007242740065262219,-0.01661120358567924,-0.0052817263448945734,0.006251691423389947,0.006701955791705688,0.22447195421394256,0.03864639895662795,-0.06694983177844321,0.037658840751674756,0.14317227821564013,0.0048800308627135,-0.014822984411730022,0.009001860427408886,-0.019204196019600543,-0.014995397476875257,-0.3806982072857262,0.008734861067923778,0.02646021013011359,-0.0008138977860722068,-0.23707216048779783,0.0021429787361496367,0.09802859788264258,0.0238292370158783,0.03824097824573655,-0.11310673918248727,-0.017409470902225097,0.08030587557814278,-0.01054829397294204,0.1370250699805358,0.07506842550044865,0.007590376952676296,-0.01632920256553028,0.08536130204358248,0.004707807597477433,-0.032111765467604116,0.2684706065108281,0.11598982177054219,0.00014590876728272513,0.05250586416436547,0.08301726436565607,0.0015284526939427392,-0.0005639362953683794,0.0023568884840863783,0.0,0.0,-0.007845911911776844,-0.01493789562900624,0.0017474616418134321,0.0
2025-05-15,1,0.5439565114304539,0.001509092085903252,0.026841115682460802,-0.0027276806740560624,0.016924154092976797,-0.0027758842410846554,-0.004839931290150683,-0.01906594769254779,-0.008006009430182145,-0.0003699448285517409,0.0009108462505898866,0.008028825924227077,-0.020638927745956014,-0.02610231517421893,0.03265748448071659,-0.05232044593655052,-0.06857105542518659,-0.0070330949874564085,0.004805269711499812,0.02611063989828809,-0.004422442562954628,0.0013753581721834044,-0.023275429881919812,-0.1761204907261802,0.2777487803508905,0.06598030212699664,0.0012681728303655276,0.014429091268096791,0.0005545178551887651,0.008189574516665745,0.026631641481503345,-0.008524375910742666,0.05033725721032601,-0.002558216927520554,-0.0032394234166468958,0.008746009270592558,-0.04371217273012446,0.013993666427477808,0.011433653865071381,0.014792043913859899,-0.0011934352344658682,-0.04372397041887146,-0.05212062915341853,0.02040007372641544,-0.031617520268932796,-0.018407090578356333,-0.00647269496871796,0.009828733149091311,-0.038349482538161464,-0.0352753004392048,0.030752403794946922,-0.03520999505386135,0.020789075295128235,0.1101312819561791,0.00614170201160104,-0.006082567187244098,0.010890764801212077,-0.019248116546952236,0.008441174882622181,-0.47104715875949044,0.015196280212124243,0.027051331151713886,-0.0032993712535473213,-0.35230459845328055,0.038862171756745174,0.08047149472850447,-0.0021260180912771242,0.035003658136134715,-0.07340075076870481,0.013981057933308788,0.10205229623428358,-0.012856526863709934,0.13902028275170333,0.12898846017802496,-0.009580081137165224,-0.013489766078620888,0.0661840420669587,-0.05018212535248762,-0.02961119288671701,0.3105654391112583,0.13640491236008473,-7.1576422134523796e-06,0.050281651923375144,0.08329538986281268,0.0015284526939427392,-0.0005639362953683794,0.0023568884840863783,0.0,0.0,-0.008192879122802916,-0.01577986710301774,0.0017474616418134321,0.0
2025-05-16,1,0.4425096319842656,0.0014938670019978184,0.017187472260766327,0.001261870231037692,0.03473839309752531,-0.0031958175957562847,0.013197665859792825,-0.01620343797484725,-0.014485475494977208,-0.021746288306505053,-0.0055321525835632275,0.008409026708690849,0.006782837851038831,0.013753446291819066,0.031476138569384256,-0.04423523812092623,0.04018117157242834,-0.0033945153956313483,0.006737976447579281,0.02208906551507255,0.0015568563715075714,0.0013813523529344622,-0.004207308638991119,-0.23734726786437468,0.23912570141876507,0.060744534788482414,0.01032017526333528,0.010969724331052257,-0.005124307688283597,0.0032320804145398487,-0.009058068167063742,-0.008664999461133293,0.042945031941529814,-0.006100198155969959,-0.0009791288989449936,0.00567126792826624,-0.03612329519810344,0.012231061344234552,0.01529895084203573,0.015059891801519867,-0.001371739978509626,-0.030958805319429843,-0.04812152099420804,-0.4666363607902432,0.0004994513613397877,-0.01139392641470921,-0.005614838958401802,0.009097255219550314,-0.026883401914576992,-0.04824779088470405,0.030986932716584824,-0.033201556228058565,0.02179463682707796,0.10952543948729516,0.0060316405670625475,-0.005465688762064113,0.009561523755009408,-0.02037546859331216,0.0017319495444053168,-0.33634577193089227,0.016203012720431544,0.028439724976907946,-0.0038134048137937406,-0.3573932714024802,0.023642803024002314,0.04659207052955523,-0.002165276871856363,0.03545063491653396,-0.09382795231077819,-0.08373982261422055,0.11757620785623914,-0.04423185836149117,0.12948615596404353,0.10937650203836596,-0.010927858613149675,-0.045963437993829875,0.060332600546142943,0.007078047337112801,-0.025661667806058625,0.33724025668786267,0.1400683723090714,0.00014755299234526614,0.05010016096476096,0.08329538986281268,0.0015284526939427392,-0.0005639362953683794,0.0023568884840863783,0.0,0.0,-0.008663461889937918,-0.0158465309371717,0.0017474616418134321,0.0
2025-05-19,0,0.5757939241793203,0.0016225703078064807,0.016994959705915396,-0.0026718063191566166,0.03715426832238207,0.0009924848469559002,-0.013618693258262086,-0.002176788378659449,-0.006069131796835548,0.022981975480679716,-0.005237758181642791,0.0054123223214571445,0.0038189723946042238,0.025464484479214528,0.031719394930908966,0.04878202373465179,0.03326414074312601,0.020731930362392407,0.0068308792492486736,0.02625509172244413,9.407489123213733e-06,0.0013813523529344622,0.009553405809816376,-0.12197096088040177,0.23772725997386526,0.05000585398329526,0.0012993880179653884,0.01086645158478537,-0.009068885795735055,0.011356155609903825,0.03166428817325671,0.012446366192561493,0.04291292364800203,-0.007059785433355064,0.005546495138559996,0.009958121958274795,-0.03575715087505229,0.0166503599027961,0.007039101938615549,0.01789320954184627,-0.001139547247681273,-0.025454192091737313,-0.11263045169844592,-0.44455960893605956,-0.010846474039965125,-0.008022392938686718,-0.004089371309280903,0.00988167729129286,-0.012123682913095669,0.004493126564157878,0.030358765361316674,-0.0198431572505642,0.023917707854318453,0.11123828448822352,0.005977897782421226,-0.006136773711175661,0.008411050190988902,-0.01642917761743173,-0.0003560366808156898,-0.36359363798428856,0.03125605745535924,0.01021972370920531,-0.003034069749710078,-0.1503121226065543,0.026959509931395252,0.04810518867415151,-0.003245313007570233,0.0342270058084146,-0.10739551498490033,0.0058487563616683,0.1283638677288033,-0.056684701225318206,0.09210755231322648,0.11025170986254454,-0.05839581659054791,-0.04437285021480979,0.06629188057958141,0.004177702030982649,-0.02681263279158688,0.3464806237267851,0.12101407496194977,-7.1576422134523796e-06,0.05010016096476096,0.06763488279097568,0.0015284526939427392,-0.0002851882241746654,0.0023568884840863783,0.0,0.0,-0.007600995054346768,-0.0158465309371717,0.0017474616418134321,0.0
2025-05-20,1,0.6222613140571351,0.0048047291862189714,0.027672317238748325,-0.002557625418668827,0.016866982816289407,-0.012323705362526836,-0.03205505850944223,0.013487035167866283,-0.005007550203894889,-0.008697052636552903,-0.0005202622052124959,0.007605648473476022,-0.010900305356671412,-0.025383796762722507,0.027383014909053316,0.021824318082187877,0.02860669654446833,-0.006902986646429509,0.045121671037369734,-0.07647053651227484,-0.004472344058904037,0.0013813523529344622,0.001965256629942009,-0.12459312104481406,0.24891455756304615,0.056428676017442274,-0.010805890280682745,0.015706078090280295,0.0027758781571223983,0.040724949534570794,7.698922660603899e-05,-0.017593898876505205,0.03642306790619338,-0.008004776716602744,-0.010717946587815825,0.024588940402462855,-0.014386379320183659,0.015252914917248936,0.011563010246264648,0.0181491536684934,-0.001450863572716218,-0.022790061942384605,-0.06700833020041057,0.017929335487149017,0.005544721932343358,-0.01711880242624431,-0.005198422191789406,0.009416565465201168,-0.013160142043570305,0.15559895923382214,0.031955594943988995,-0.04089296505066251,0.023489569040954228,0.13571226176085463,0.0068728888188320444,-0.005900647267090177,0.011071240507645871,-0.02572309611786267,0.01489486396938317,-0.5803543890775998,0.02334227068686616,0.01087281719677618,-0.007785959572117984,-0.31708382554425407,0.0415012192902069,0.09368977219211852,-0.07068504168911204,0.03943552133388271,-0.11155253431846274,0.08264254667777439,0.13681388292677424,-0.052956216979921374,0.15639450658308549,0.11689836961044602,-0.06379098065385466,-0.014496789121246682,0.05359857892977729,0.004177702030982649,-0.025291135258439217,0.3527133475922636,0.09064323609460519,-7.1576422134523796e-06,0.05010016096476096,0.08243211341876822,0.0015284526939427392,-0.0002851882241746654,0.0023568884840863783,0.0,0.0,-0.008316494678911846,-0.015391503873483437,0.0017474616418134321,0.0
2025-05-21,0,0.4169942043290743,0.004416155914106301,0.0286355406457543,-0.002613499773568273,0.015372002315889706,0.0026948479739418024,-0.007166468393138965,-0.0123234382906974,-0.0008775904907283711,-0.0012604051483050569,0.0007983590729034682,0.007553442848443191,-0.03564332911013051,-0.028732034181171318,0.025693213733332873,0.04674609555774868,0.01596355795519923,-0.007833542659894565,0.0454206531900888,-0.07087972627128357,-0.0006832895766695151,0.0013813523529344622,-0.04773954351254415,-0.15328314373210472,0.016536359474743002,0.060915496113176225,-0.011299482199554896,0.011537846412222766,-0.005795607285191389,0.036812920401734624,-0.005963544667884713,-0.01748276744455811,0.03862564232975105,-0.007949187700064931,-0.00591570667702655,0.028203519603834663,-0.0003042697287540332,0.014164533220369355,0.011563010246264648,0.019789979911331624,-0.0026095320009809886,-0.03978712103013942,-0.07560238236900839,0.020286646399808223,0.005978862883341818,-0.01639123885439099,-0.0038646689397182866,0.009406777287046503,-0.028136782063430753,0.18448779046451413,0.0210709560699049,-0.033184694184010585,0.023489569040954228,0.1455064345369432,0.0056088311996175975,-0.005336430545036605,0.010376172719175483,-0.04814083864779319,0.01320456846298,-0.6386221974291221,0.024148407169372103,0.010211111557343153,-0.0047588845775647535,-0.26004198051917143,-0.3065088733681924,0.08972398158681946,-0.09853071092131634,0.039917772573878525,-0.11487200691896322,0.04389365534778472,0.0967312388625254,-0.0494202276795702,0.1367052147333829,0.06855133471134021,-0.06306588921013923,0.001927559908781134,0.05095081186733241,0.004214693847870552,-0.027609736632453717,0.3585937356605728,0.07263017737664082,-7.1576422134523796e-06,0.05003234292249936,0.0863690936319717,0.0015284526939427392,-0.0005639362953683794,0.0023568884840863783,0.0,0.0,-0.008499676896065763,-0.015391503873483437,0.0017474616418134321,0.0
2025-05-22,1,0.3117690822306084,0.0017907893461229583,0.017355286178922825,-0.002613499773568273,0.015734473422611882,-0.002575475488428773,-0.0037873094533717165,-0.02030230723437197,0.033900446312207164,-0.001689899982207639,0.0008118521353811595,0.008229838669677636,-0.02318515941795934,-0.02714254310063093,0.02639315825396564,0.09074075377065449,0.023120123805351812,0.030077361026175246,0.007393923318608427,0.013508909532742027,0.0015568563715075714,0.0013813523529344622,0.013642110896029442,-0.1873778925345182,0.01585201964041024,0.060443569826359046,0.002369693121578846,0.0036935226562940307,-0.008124772619763203,0.01626467728744313,0.04620908899888134,0.00821780117522165,0.022413034273711337,-0.005510723336850646,0.0047685163263053235,0.010628039023494927,-0.01201827148930793,0.006510999833443389,0.008330624841250786,0.01957043910023856,-0.002140549223453581,-0.02963869394228617,-0.0737607641883818,-0.43982347284646983,-0.009671127628022823,-0.00866255722639375,-0.003075807016201744,0.009411626902490994,-0.04007436883352798,-0.00706066539676519,0.019885176971805,-0.0047184564839402926,0.023348541573933224,0.11326239247176231,0.004925638277698677,-0.005860337498495699,0.008255943999505364,-0.054668259453281326,0.004972403817149994,-0.42294091378425536,0.03185357913619255,0.010080939398022291,0.03522669240356353,-0.30677886676781657,-0.35006287693923244,0.05055482561289596,-0.10531583493176366,0.07765836731188097,-0.10315944611100651,-0.039352910998293376,0.09467633014047697,-0.037132638124560365,0.006286289727500478,0.06401424118523896,-0.06328848526185508,-0.029227665797030677,0.07043927216269258,0.039085030529539704,-0.02758952800812016,0.3565185068428625,0.09983691888856311,-7.1576422134523796e-06,0.05003234292249936,0.0863690936319717,0.0015284526939427392,-0.0005639362953683794,0.0023568884840863783,0.0,0.0,-0.009252381358903213,-0.014035457539451008,0.0017474616418134321,0.0
2025-05-23,1,0.26789147274536584,0.0017610358774869364,0.027374757742720145,-0.0024203119089587213,0.017534723617186613,-0.0011194220945394823,-0.006891356991111492,-0.014033601468835801,0.0015307600931438597,0.002793078188767605,-0.00030327897677868927,0.008441164930564939,0.009297823494745694,-0.029325442453060433,0.025999145921732456,-0.03929272092010668,-0.060954562144537164,-0.0020372048402556796,0.005632424991131319,0.026822671759688055,-0.003369291779423749,0.0013813523529344622,-0.04275610167277404,-0.10104072765084306,0.07591641880821945,0.04993363065045126,0.005136453448306276,0.007894383517894059,0.019750706818227243,0.05077178094972652,-0.008359467780440479,-0.011146389242312822,0.049071263165953526,-0.0001963089213835019,-0.0038712985801665277,0.009694250332931444,-0.01306305022047039,0.012418124524428883,0.008712780806860634,0.014937151569344456,-0.0007907478582538634,-0.027172208396006745,-0.06655780862162322,-0.026566224426422383,0.0065216973170766695,-0.009537515235894512,-0.004317989767583168,0.005141514630908866,-0.01897130331529154,-0.030872312039868188,0.0201210241677364,-0.023363842929797003,0.021549365920734347,0.11183908953561794,0.005656825084929681,-0.00491436115750934,0.010052646490089216,-0.05183562636820489,0.013284511942350799,-0.6227297982633727,0.010478035701563746,0.010681094864785846,0.03247668792904148,-0.2776009481879622,-0.7104839140161869,0.08701126865375057,-0.10691713055269081,0.07705954852904957,-0.09720925003391263,-0.061027668524284186,0.0757559128509954,-0.012742350913704136,-0.0038589666170902176,0.053880321547707236,-0.06397681509283566,0.005016568383225657,0.06313376514016734,0.039085030529539704,-0.030127488722019185,0.38729830226728096,0.09826693492780476,-7.1576422134523796e-06,0.04375451298342836,0.07687130601854475,0.0015284526939427392,-0.0005639362953683794,0.0023568884840863783,0.0,0.0,-0.008931589251526375,-0.01455714843729323,0.0017474616418134321,0.0
2025-05-26,1,0.576202538960977,0.002489359946900496,0.028520091284677522,0.00039677859096674535,0.03279171858186621,-0.0048354923762362785,0.04703403496728997,0.009133005824052295,6.179814487042697e-05,0.007683457815868941,0.0014649500081164856,0.00877787438604642,0.013015758568864591,0.023351622175317287,0.0326830251837606,0.032323295690185924,0.03599800470304258,-0.005885083244844243,0.005237428075917465,0.025764157183360732,-0.0006832895766695151,0.0013813523529344622,-0.04732608428901013,-0.14275023185704605,0.0848966643950574,0.05331726813737847,0.02437472164077723,0.04387310728777613,0.001624210123338665,0.018118541917936833,-0.009833144146738564,5.969310824245893e-05,-0.11095112074650196,-0.012354077498948067,0.00016211657343261153,0.009722889632501995,-0.03813058460585042,0.012487827307204852,0.007701916285210876,0.018887727186787655,0.0014994940650083263,-0.07374569566364685,-0.046462254111956085,0.022798376836879373,0.0011310497030182904,-0.006369849536311831,-0.0026523113584421155,0.00917728099098139,-0.019700167403258632,0.06081728407470987,0.019591880900227777,-0.02150868764549134,0.02856864455538218,0.11215896432605062,0.004925638277698677,-0.00556728054571846,0.011589887591916396,-0.06781348358192825,0.018657405391104,-0.5112538108116391,0.01900238597651973,0.02231388337555132,0.029846319417645394,0.11411256068730288,-0.44752866563310123,0.08534643549318964,-0.03370523445211401,0.07564462356189083,-0.032193043822103744,-0.1356478424448834,0.032128041494037425,0.2689516717300716,0.003970408142860617,0.023848833016471702,-0.07623168326470574,0.01603312967670043,0.040528546266616006,0.03912179862461052,-0.014689340058392114,0.33198300541576004,0.18527436477055112,0.008936781525107245,0.04237429939352604,0.06835818562543519,0.0015284526939427392,-0.002252980010196892,0.0023568884840863783,0.0,0.0,-0.0135194494997865,-0.01331488383845777,0.0011052566951152503,0.0
