date,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_source
2019-04-25,9880.59,9740.17,9955.44,9732.7,14715286,24210271488.0,2.25,-1.69,-167.13,1.48,index_zh_a_hist
2019-04-26,9707.93,9579.31,9730.31,9579.27,12593501,22309205248.0,1.55,-1.65,-160.86,1.27,index_zh_a_hist
2019-04-29,9580.71,9662.88,9802.58,9580.71,15168168,27475054336.0,2.32,0.87,83.57,1.53,index_zh_a_hist
2019-04-30,9595.38,9669.68,9706.29,9593.01,11282442,21080724736.0,1.17,0.07,6.8,1.14,index_zh_a_hist
2019-05-06,9363.93,9104.55,9363.93,9026.65,14711555,27720756480.0,3.49,-5.84,-565.13,1.48,index_zh_a_hist
2019-05-07,9114.62,9250.74,9329.97,9093.11,12412130,23889674496.0,2.6,1.61,146.19,1.25,index_zh_a_hist
2019-05-08,9057.15,9160.56,9313.05,9034.44,11877135,20695024896.0,3.01,-0.97,-90.18,1.2,index_zh_a_hist
2019-05-09,9059.97,8886.72,9124.58,8881.91,9402064,17886010880.0,2.65,-2.99,-273.84,0.95,index_zh_a_hist
2019-05-10,8964.17,9137.22,9147.66,8786.49,15074228,22671969024.0,4.06,2.82,250.5,1.52,index_zh_a_hist
2019-05-13,9019.08,9072.75,9136.33,8981.61,11363048,16692310784.0,1.69,-0.71,-64.47,1.14,index_zh_a_hist
2019-05-14,8995.13,8992.0,9113.56,8977.77,10334400,16433583616.0,1.5,-0.89,-80.75,1.04,index_zh_a_hist
2019-05-15,9066.0,9237.57,9241.31,9049.06,12522689,20924950784.0,2.14,2.73,245.57,1.26,index_zh_a_hist
2019-05-16,9213.79,9321.93,9322.34,9155.24,12394480,19594635520.0,1.81,0.91,84.36,1.25,index_zh_a_hist
2019-05-17,9306.52,9074.91,9306.52,9056.06,14724850,21629483008.0,2.69,-2.65,-247.02,1.48,index_zh_a_hist
2019-05-20,9050.27,8924.1,9060.98,8830.55,9339832,15837700864.0,2.54,-1.66,-150.81,0.94,index_zh_a_hist
2019-05-21,8916.44,9059.04,9115.43,8898.07,8089545,14541807616.0,2.44,1.51,134.94,0.81,index_zh_a_hist
2019-05-22,9051.68,9014.38,9078.74,8967.8,6817104,12282611712.0,1.22,-0.49,-44.66,0.69,index_zh_a_hist
2019-05-23,8988.86,8801.1,8988.86,8791.13,6764624,12090049536.0,2.19,-2.37,-213.28,0.68,index_zh_a_hist
2019-05-24,8784.44,8780.71,8855.18,8747.97,6159901,10148017664.0,1.22,-0.23,-20.39,0.62,index_zh_a_hist
2019-05-27,8798.01,8888.72,8912.72,8702.52,7853200,13878460160.0,2.39,1.23,108.01,0.79,index_zh_a_hist
2019-05-28,8882.8,8956.7,8976.14,8861.4,8311981,14814225152.0,1.29,0.76,67.98,0.84,index_zh_a_hist
