date,close,volume,source
2019-01-02,74.36,20023.39,stock_zh_a_hist_tx
2019-01-03,73.27,18944.75,stock_zh_a_hist_tx
2019-01-04,75.56,22634.25,stock_zh_a_hist_tx
2019-01-07,77.05,15874.58,stock_zh_a_hist_tx
2019-01-08,77.06,12149.3,stock_zh_a_hist_tx
2019-01-09,78.73,21348.43,stock_zh_a_hist_tx
2019-01-10,77.86,14047.9,stock_zh_a_hist_tx
2019-01-11,78.33,10029.82,stock_zh_a_hist_tx
2019-01-14,74.27,25135.76,stock_zh_a_hist_tx
2019-01-15,80.81,33997.57,stock_zh_a_hist_tx
2019-01-16,81.78,23473.43,stock_zh_a_hist_tx
2019-01-17,82.21,16365.12,stock_zh_a_hist_tx
2019-01-18,85.99,22084.05,stock_zh_a_hist_tx
2019-01-21,85.06,19963.41,stock_zh_a_hist_tx
2019-01-22,83.07,11992.38,stock_zh_a_hist_tx
2019-01-23,83.56,8896.54,stock_zh_a_hist_tx
2019-01-24,83.91,14416.48,stock_zh_a_hist_tx
2019-01-25,84.31,11783.07,stock_zh_a_hist_tx
2019-01-28,82.81,14324.67,stock_zh_a_hist_tx
2019-01-29,82.75,13645.37,stock_zh_a_hist_tx
2019-01-30,81.4,9965.45,stock_zh_a_hist_tx
2019-01-31,82.25,10897.09,stock_zh_a_hist_tx
2019-02-01,86.66,20914.68,stock_zh_a_hist_tx
2019-02-11,90.43,21661.94,stock_zh_a_hist_tx
2019-02-12,92.74,17734.23,stock_zh_a_hist_tx
2019-02-13,95.31,20589.3,stock_zh_a_hist_tx
2019-02-14,94.38,13488.13,stock_zh_a_hist_tx
2019-02-15,92.73,15299.91,stock_zh_a_hist_tx
2019-02-18,97.56,17530.41,stock_zh_a_hist_tx
2019-02-19,94.16,19876.15,stock_zh_a_hist_tx
2019-02-20,93.68,17986.69,stock_zh_a_hist_tx
2019-02-21,92.06,18873.91,stock_zh_a_hist_tx
2019-02-22,102.34,38328.48,stock_zh_a_hist_tx
2019-03-07,113.64,4043.78,stock_zh_a_hist_tx
2019-03-08,126.08,3639.73,stock_zh_a_hist_tx
2019-03-11,132.04,118571.48,stock_zh_a_hist_tx
2019-03-12,128.81,43930.92,stock_zh_a_hist_tx
2019-03-13,125.27,38462.65,stock_zh_a_hist_tx
2019-03-14,129.31,35930.79,stock_zh_a_hist_tx
2019-03-15,133.81,29874.44,stock_zh_a_hist_tx
2019-03-18,140.31,43452.23,stock_zh_a_hist_tx
2019-03-19,136.31,24156.15,stock_zh_a_hist_tx
2019-03-20,133.69,20702.38,stock_zh_a_hist_tx
2019-03-21,136.91,22137.23,stock_zh_a_hist_tx
2019-03-22,136.96,15409.88,stock_zh_a_hist_tx
2019-03-25,134.96,18914.96,stock_zh_a_hist_tx
